CE8	alt.gossip.celebrities_20041118.2331-CE1
RM6	alt.gossip.celebrities_20041118.2331-R5-1
V1	alt.gossip.celebrities_20041118.2331-EV1
VM1	alt.gossip.celebrities_20041118.2331-EV1-1
Q1	alt.gossip.celebrities_20041118.2331-T1
Q2	alt.gossip.celebrities_20041118.2331-T2
Q3	alt.gossip.celebrities_20041118.2331-T3
Q5	alt.gossip.celebrities_20041118.2331-T4
Q6	alt.gossip.celebrities_20041118.2331-T5
Q7	alt.gossip.celebrities_20041118.2331-T6
Q8	alt.gossip.celebrities_20041118.2331-T7
Q9	alt.gossip.celebrities_20041118.2331-T8
Q10	alt.gossip.celebrities_20041118.2331-T9
Q11	alt.gossip.celebrities_20041118.2331-T10
Q12	alt.gossip.celebrities_20041118.2331-T11
Q13	alt.gossip.celebrities_20041118.2331-T12
Q16	alt.gossip.celebrities_20041118.2331-T13
Q17	alt.gossip.celebrities_20041118.2331-T14
Q4	alt.gossip.celebrities_20041118.2331-T15
Q14	alt.gossip.celebrities_20041118.2331-T16
Q15	alt.gossip.celebrities_20041118.2331-T17
