CE28	alt.sys.pc-clone.dell_20050226.2350-CE1
E36	alt.sys.pc-clone.dell_20050226.2350-E16
E37	alt.sys.pc-clone.dell_20050226.2350-E17
E38	alt.sys.pc-clone.dell_20050226.2350-E18
E39	alt.sys.pc-clone.dell_20050226.2350-E19
E40	alt.sys.pc-clone.dell_20050226.2350-E20
E41	alt.sys.pc-clone.dell_20050226.2350-E21
E42	alt.sys.pc-clone.dell_20050226.2350-E22
E43	alt.sys.pc-clone.dell_20050226.2350-E23
E44	alt.sys.pc-clone.dell_20050226.2350-E24
E45	alt.sys.pc-clone.dell_20050226.2350-E25
E46	alt.sys.pc-clone.dell_20050226.2350-E26
E48	alt.sys.pc-clone.dell_20050226.2350-E27
E49	alt.sys.pc-clone.dell_20050226.2350-E28
E50	alt.sys.pc-clone.dell_20050226.2350-E29
E51	alt.sys.pc-clone.dell_20050226.2350-E30
E52	alt.sys.pc-clone.dell_20050226.2350-E31
E54	alt.sys.pc-clone.dell_20050226.2350-E32
E2	alt.sys.pc-clone.dell_20050226.2350-E33
E3	alt.sys.pc-clone.dell_20050226.2350-E34
E4	alt.sys.pc-clone.dell_20050226.2350-E35
E5	alt.sys.pc-clone.dell_20050226.2350-E36
E7	alt.sys.pc-clone.dell_20050226.2350-E37
E9	alt.sys.pc-clone.dell_20050226.2350-E38
E10	alt.sys.pc-clone.dell_20050226.2350-E39
E11	alt.sys.pc-clone.dell_20050226.2350-E40
E12	alt.sys.pc-clone.dell_20050226.2350-E41
E57	alt.sys.pc-clone.dell_20050226.2350-E42
EM80	alt.sys.pc-clone.dell_20050226.2350-E4-1
EM75	alt.sys.pc-clone.dell_20050226.2350-E4-2
EM7	alt.sys.pc-clone.dell_20050226.2350-E34-3
EM24	alt.sys.pc-clone.dell_20050226.2350-E23-4
EM14	alt.sys.pc-clone.dell_20050226.2350-E1-5
EM15	alt.sys.pc-clone.dell_20050226.2350-E34-6
EM16	alt.sys.pc-clone.dell_20050226.2350-E34-7
EM17	alt.sys.pc-clone.dell_20050226.2350-E1-8
EM18	alt.sys.pc-clone.dell_20050226.2350-E2-9
EM19	alt.sys.pc-clone.dell_20050226.2350-E33-10
EM20	alt.sys.pc-clone.dell_20050226.2350-E33-11
EM21	alt.sys.pc-clone.dell_20050226.2350-E1-12
EM22	alt.sys.pc-clone.dell_20050226.2350-E3-13
EM23	alt.sys.pc-clone.dell_20050226.2350-E1-14
EM9	alt.sys.pc-clone.dell_20050226.2350-E23-15
EM25	alt.sys.pc-clone.dell_20050226.2350-E1-16
EM26	alt.sys.pc-clone.dell_20050226.2350-E4-17
EM27	alt.sys.pc-clone.dell_20050226.2350-E4-18
EM28	alt.sys.pc-clone.dell_20050226.2350-E5-19
EM29	alt.sys.pc-clone.dell_20050226.2350-E6-20
EM30	alt.sys.pc-clone.dell_20050226.2350-E1-21
EM35	alt.sys.pc-clone.dell_20050226.2350-E7-22
EM31	alt.sys.pc-clone.dell_20050226.2350-E7-23
EM32	alt.sys.pc-clone.dell_20050226.2350-E8-24
EM33	alt.sys.pc-clone.dell_20050226.2350-E9-25
EM34	alt.sys.pc-clone.dell_20050226.2350-E7-26
EM37	alt.sys.pc-clone.dell_20050226.2350-E7-27
EM36	alt.sys.pc-clone.dell_20050226.2350-E10-28
EM38	alt.sys.pc-clone.dell_20050226.2350-E11-29
EM39	alt.sys.pc-clone.dell_20050226.2350-E12-30
EM40	alt.sys.pc-clone.dell_20050226.2350-E13-31
EM41	alt.sys.pc-clone.dell_20050226.2350-E8-32
EM42	alt.sys.pc-clone.dell_20050226.2350-E7-33
EM43	alt.sys.pc-clone.dell_20050226.2350-E14-34
EM44	alt.sys.pc-clone.dell_20050226.2350-E8-35
EM45	alt.sys.pc-clone.dell_20050226.2350-E15-36
EM46	alt.sys.pc-clone.dell_20050226.2350-E16-37
EM47	alt.sys.pc-clone.dell_20050226.2350-E7-38
EM48	alt.sys.pc-clone.dell_20050226.2350-E39-39
EM49	alt.sys.pc-clone.dell_20050226.2350-E17-40
EM50	alt.sys.pc-clone.dell_20050226.2350-E17-41
EM51	alt.sys.pc-clone.dell_20050226.2350-E17-42
EM52	alt.sys.pc-clone.dell_20050226.2350-E18-43
EM53	alt.sys.pc-clone.dell_20050226.2350-E19-44
EM54	alt.sys.pc-clone.dell_20050226.2350-E19-45
EM55	alt.sys.pc-clone.dell_20050226.2350-E7-46
EM56	alt.sys.pc-clone.dell_20050226.2350-E11-47
EM58	alt.sys.pc-clone.dell_20050226.2350-E11-48
EM59	alt.sys.pc-clone.dell_20050226.2350-E18-49
EM60	alt.sys.pc-clone.dell_20050226.2350-E20-50
EM61	alt.sys.pc-clone.dell_20050226.2350-E20-51
EM63	alt.sys.pc-clone.dell_20050226.2350-E20-52
EM64	alt.sys.pc-clone.dell_20050226.2350-E21-53
EM65	alt.sys.pc-clone.dell_20050226.2350-E20-54
EM67	alt.sys.pc-clone.dell_20050226.2350-E22-55
EM68	alt.sys.pc-clone.dell_20050226.2350-E23-56
EM1	alt.sys.pc-clone.dell_20050226.2350-E33-57
EM69	alt.sys.pc-clone.dell_20050226.2350-E24-58
EM70	alt.sys.pc-clone.dell_20050226.2350-E25-59
EM71	alt.sys.pc-clone.dell_20050226.2350-E23-60
EM72	alt.sys.pc-clone.dell_20050226.2350-E23-61
EM73	alt.sys.pc-clone.dell_20050226.2350-E23-62
EM74	alt.sys.pc-clone.dell_20050226.2350-E26-63
EM76	alt.sys.pc-clone.dell_20050226.2350-E27-64
EM77	alt.sys.pc-clone.dell_20050226.2350-E28-65
EM78	alt.sys.pc-clone.dell_20050226.2350-E28-66
EM79	alt.sys.pc-clone.dell_20050226.2350-E29-67
EM81	alt.sys.pc-clone.dell_20050226.2350-E30-68
EM82	alt.sys.pc-clone.dell_20050226.2350-E31-69
EM83	alt.sys.pc-clone.dell_20050226.2350-E31-70
EM84	alt.sys.pc-clone.dell_20050226.2350-E32-71
EM85	alt.sys.pc-clone.dell_20050226.2350-E32-72
EM86	alt.sys.pc-clone.dell_20050226.2350-E32-73
EM87	alt.sys.pc-clone.dell_20050226.2350-E23-74
EM88	alt.sys.pc-clone.dell_20050226.2350-E27-75
EM89	alt.sys.pc-clone.dell_20050226.2350-E30-76
EM57	alt.sys.pc-clone.dell_20050226.2350-E11-77
EM66	alt.sys.pc-clone.dell_20050226.2350-E22-78
EM2	alt.sys.pc-clone.dell_20050226.2350-E34-79
EM3	alt.sys.pc-clone.dell_20050226.2350-E33-80
EM4	alt.sys.pc-clone.dell_20050226.2350-E34-81
EM5	alt.sys.pc-clone.dell_20050226.2350-E35-82
EM6	alt.sys.pc-clone.dell_20050226.2350-E36-83
EM8	alt.sys.pc-clone.dell_20050226.2350-E37-84
EM10	alt.sys.pc-clone.dell_20050226.2350-E38-85
EM11	alt.sys.pc-clone.dell_20050226.2350-E39-86
EM12	alt.sys.pc-clone.dell_20050226.2350-E40-87
EM13	alt.sys.pc-clone.dell_20050226.2350-E41-88
EM62	alt.sys.pc-clone.dell_20050226.2350-E42-89
R1	alt.sys.pc-clone.dell_20050226.2350-R1
RM1	alt.sys.pc-clone.dell_20050226.2350-R1-1
V1	alt.sys.pc-clone.dell_20050226.2350-EV1
V2	alt.sys.pc-clone.dell_20050226.2350-EV2
V3	alt.sys.pc-clone.dell_20050226.2350-EV3
V4	alt.sys.pc-clone.dell_20050226.2350-EV4
V5	alt.sys.pc-clone.dell_20050226.2350-EV5
V6	alt.sys.pc-clone.dell_20050226.2350-EV6
V7	alt.sys.pc-clone.dell_20050226.2350-EV7
V8	alt.sys.pc-clone.dell_20050226.2350-EV8
VM17	alt.sys.pc-clone.dell_20050226.2350-EV2-1
VM18	alt.sys.pc-clone.dell_20050226.2350-EV2-2
VM1	alt.sys.pc-clone.dell_20050226.2350-EV1-1
VM2	alt.sys.pc-clone.dell_20050226.2350-EV2-3
VM3	alt.sys.pc-clone.dell_20050226.2350-EV2-4
VM4	alt.sys.pc-clone.dell_20050226.2350-EV2-5
VM5	alt.sys.pc-clone.dell_20050226.2350-EV3-1
VM6	alt.sys.pc-clone.dell_20050226.2350-EV4-1
VM7	alt.sys.pc-clone.dell_20050226.2350-EV5-1
VM8	alt.sys.pc-clone.dell_20050226.2350-EV5-2
VM9	alt.sys.pc-clone.dell_20050226.2350-EV2-6
VM10	alt.sys.pc-clone.dell_20050226.2350-EV2-7
VM11	alt.sys.pc-clone.dell_20050226.2350-EV2-8
VM12	alt.sys.pc-clone.dell_20050226.2350-EV6-1
VM13	alt.sys.pc-clone.dell_20050226.2350-EV7-1
VM14	alt.sys.pc-clone.dell_20050226.2350-EV7-2
VM15	alt.sys.pc-clone.dell_20050226.2350-EV8-1
VM16	alt.sys.pc-clone.dell_20050226.2350-EV2-9
Q4	alt.sys.pc-clone.dell_20050226.2350-V1
Q7	alt.sys.pc-clone.dell_20050226.2350-T1
Q1	alt.sys.pc-clone.dell_20050226.2350-T2
Q2	alt.sys.pc-clone.dell_20050226.2350-T3
Q5	alt.sys.pc-clone.dell_20050226.2350-T4
Q6	alt.sys.pc-clone.dell_20050226.2350-T5
Q8	alt.sys.pc-clone.dell_20050226.2350-V2
Q9	alt.sys.pc-clone.dell_20050226.2350-T6
Q10	alt.sys.pc-clone.dell_20050226.2350-T7
Q11	alt.sys.pc-clone.dell_20050226.2350-V3
Q12	alt.sys.pc-clone.dell_20050226.2350-T8
Q13	alt.sys.pc-clone.dell_20050226.2350-T9
Q3	alt.sys.pc-clone.dell_20050226.2350-V4
QM4	alt.sys.pc-clone.dell_20050226.2350-V1-1
QM8	alt.sys.pc-clone.dell_20050226.2350-V2-1
QM11	alt.sys.pc-clone.dell_20050226.2350-V3-1
QM3	alt.sys.pc-clone.dell_20050226.2350-V4-1
