CE12	alt.atheism_20041104.2428-CE1
E46	alt.atheism_20041104.2428-E21
E142	alt.atheism_20041104.2428-E22
E49	alt.atheism_20041104.2428-E23
E50	alt.atheism_20041104.2428-E24
E143	alt.atheism_20041104.2428-E25
E52	alt.atheism_20041104.2428-E26
E53	alt.atheism_20041104.2428-E27
E54	alt.atheism_20041104.2428-E28
E55	alt.atheism_20041104.2428-E29
E56	alt.atheism_20041104.2428-E30
E57	alt.atheism_20041104.2428-E31
E58	alt.atheism_20041104.2428-E32
E59	alt.atheism_20041104.2428-E33
E60	alt.atheism_20041104.2428-E34
E61	alt.atheism_20041104.2428-E35
E62	alt.atheism_20041104.2428-E36
E63	alt.atheism_20041104.2428-E37
E64	alt.atheism_20041104.2428-E38
E68	alt.atheism_20041104.2428-E39
E69	alt.atheism_20041104.2428-E40
E70	alt.atheism_20041104.2428-E41
E72	alt.atheism_20041104.2428-E42
E94	alt.atheism_20041104.2428-E43
E73	alt.atheism_20041104.2428-E44
E74	alt.atheism_20041104.2428-E45
E75	alt.atheism_20041104.2428-E46
E76	alt.atheism_20041104.2428-E47
E77	alt.atheism_20041104.2428-E48
E79	alt.atheism_20041104.2428-E49
E81	alt.atheism_20041104.2428-E50
E83	alt.atheism_20041104.2428-E51
E86	alt.atheism_20041104.2428-E52
E87	alt.atheism_20041104.2428-E53
E88	alt.atheism_20041104.2428-E54
E89	alt.atheism_20041104.2428-E55
E92	alt.atheism_20041104.2428-E56
E93	alt.atheism_20041104.2428-E57
E144	alt.atheism_20041104.2428-E58
E145	alt.atheism_20041104.2428-E59
E95	alt.atheism_20041104.2428-E60
E146	alt.atheism_20041104.2428-E61
E147	alt.atheism_20041104.2428-E62
E108	alt.atheism_20041104.2428-E63
E148	alt.atheism_20041104.2428-E64
E111	alt.atheism_20041104.2428-E65
E112	alt.atheism_20041104.2428-E66
E113	alt.atheism_20041104.2428-E67
E115	alt.atheism_20041104.2428-E68
E116	alt.atheism_20041104.2428-E69
E117	alt.atheism_20041104.2428-E70
E119	alt.atheism_20041104.2428-E71
E120	alt.atheism_20041104.2428-E72
E121	alt.atheism_20041104.2428-E73
E126	alt.atheism_20041104.2428-E74
E131	alt.atheism_20041104.2428-E75
E132	alt.atheism_20041104.2428-E76
E133	alt.atheism_20041104.2428-E77
E4	alt.atheism_20041104.2428-E78
E134	alt.atheism_20041104.2428-E79
E5	alt.atheism_20041104.2428-E80
E7	alt.atheism_20041104.2428-E81
E9	alt.atheism_20041104.2428-E82
E10	alt.atheism_20041104.2428-E83
E11	alt.atheism_20041104.2428-E84
E38	alt.atheism_20041104.2428-E85
E15	alt.atheism_20041104.2428-E86
E16	alt.atheism_20041104.2428-E87
EM3	alt.atheism_20041104.2428-E43-1
EM40	alt.atheism_20041104.2428-E9-2
EM45	alt.atheism_20041104.2428-E9-3
EM23	alt.atheism_20041104.2428-E1-4
EM24	alt.atheism_20041104.2428-E1-5
EM26	alt.atheism_20041104.2428-E2-6
EM27	alt.atheism_20041104.2428-E3-7
EM28	alt.atheism_20041104.2428-E2-8
EM29	alt.atheism_20041104.2428-E4-9
EM30	alt.atheism_20041104.2428-E2-10
EM31	alt.atheism_20041104.2428-E5-11
EM12	alt.atheism_20041104.2428-E85-12
EM62	alt.atheism_20041104.2428-E14-13
EM34	alt.atheism_20041104.2428-E1-14
EM35	alt.atheism_20041104.2428-E1-15
EM36	alt.atheism_20041104.2428-E6-16
EM37	alt.atheism_20041104.2428-E7-17
EM39	alt.atheism_20041104.2428-E8-18
EM43	alt.atheism_20041104.2428-E9-19
EM42	alt.atheism_20041104.2428-E8-20
EM153	alt.atheism_20041104.2428-E13-21
EM44	alt.atheism_20041104.2428-E11-22
EM46	alt.atheism_20041104.2428-E8-23
EM47	alt.atheism_20041104.2428-E12-24
EM49	alt.atheism_20041104.2428-E6-25
EM145	alt.atheism_20041104.2428-E22-26
EM104	alt.atheism_20041104.2428-E33-27
EM146	alt.atheism_20041104.2428-E33-28
EM60	alt.atheism_20041104.2428-E15-29
EM61	alt.atheism_20041104.2428-E15-30
EM63	alt.atheism_20041104.2428-E16-31
EM64	alt.atheism_20041104.2428-E15-32
EM65	alt.atheism_20041104.2428-E17-33
EM67	alt.atheism_20041104.2428-E18-34
EM66	alt.atheism_20041104.2428-E19-35
EM70	alt.atheism_20041104.2428-E21-36
EM72	alt.atheism_20041104.2428-E21-37
EM143	alt.atheism_20041104.2428-E22-38
EM142	alt.atheism_20041104.2428-E22-39
EM73	alt.atheism_20041104.2428-E23-40
EM75	alt.atheism_20041104.2428-E24-41
EM140	alt.atheism_20041104.2428-E22-42
EM141	alt.atheism_20041104.2428-E25-43
EM137	alt.atheism_20041104.2428-E20-44
EM80	alt.atheism_20041104.2428-E26-45
EM81	alt.atheism_20041104.2428-E27-46
EM82	alt.atheism_20041104.2428-E28-47
EM83	alt.atheism_20041104.2428-E27-48
EM84	alt.atheism_20041104.2428-E28-49
EM85	alt.atheism_20041104.2428-E29-50
EM86	alt.atheism_20041104.2428-E30-51
EM87	alt.atheism_20041104.2428-E31-52
EM90	alt.atheism_20041104.2428-E32-53
EM91	alt.atheism_20041104.2428-E34-54
EM93	alt.atheism_20041104.2428-E29-55
EM94	alt.atheism_20041104.2428-E36-56
EM96	alt.atheism_20041104.2428-E37-57
EM102	alt.atheism_20041104.2428-E38-58
EM117	alt.atheism_20041104.2428-E33-59
EM118	alt.atheism_20041104.2428-E33-60
EM119	alt.atheism_20041104.2428-E33-61
EM110	alt.atheism_20041104.2428-E39-62
EM111	alt.atheism_20041104.2428-E40-63
EM10	alt.atheism_20041104.2428-E6-64
EM32	alt.atheism_20041104.2428-E2-65
EM2	alt.atheism_20041104.2428-E42-66
EM113	alt.atheism_20041104.2428-E44-67
EM114	alt.atheism_20041104.2428-E33-68
EM115	alt.atheism_20041104.2428-E41-69
EM78	alt.atheism_20041104.2428-E74-70
EM77	alt.atheism_20041104.2428-E74-71
EM120	alt.atheism_20041104.2428-E29-72
EM121	alt.atheism_20041104.2428-E45-73
EM122	alt.atheism_20041104.2428-E29-74
EM123	alt.atheism_20041104.2428-E33-75
EM125	alt.atheism_20041104.2428-E46-76
EM126	alt.atheism_20041104.2428-E47-77
EM127	alt.atheism_20041104.2428-E78-78
EM128	alt.atheism_20041104.2428-E47-79
EM129	alt.atheism_20041104.2428-E48-80
EM130	alt.atheism_20041104.2428-E78-81
EM38	alt.atheism_20041104.2428-E6-82
EM131	alt.atheism_20041104.2428-E33-83
EM132	alt.atheism_20041104.2428-E32-84
EM52	alt.atheism_20041104.2428-E6-85
EM135	alt.atheism_20041104.2428-E32-86
EM133	alt.atheism_20041104.2428-E33-87
EM134	alt.atheism_20041104.2428-E78-88
EM136	alt.atheism_20041104.2428-E49-89
EM138	alt.atheism_20041104.2428-E20-90
EM1	alt.atheism_20041104.2428-E32-91
EM139	alt.atheism_20041104.2428-E32-92
EM50	alt.atheism_20041104.2428-E6-93
EM107	alt.atheism_20041104.2428-E47-94
EM124	alt.atheism_20041104.2428-E47-95
EM116	alt.atheism_20041104.2428-E46-96
EM144	alt.atheism_20041104.2428-E33-97
EM109	alt.atheism_20041104.2428-E46-98
EM147	alt.atheism_20041104.2428-E33-99
EM148	alt.atheism_20041104.2428-E50-100
EM105	alt.atheism_20041104.2428-E78-101
EM98	alt.atheism_20041104.2428-E70-102
EM149	alt.atheism_20041104.2428-E50-103
EM150	alt.atheism_20041104.2428-E51-104
EM76	alt.atheism_20041104.2428-E74-105
EM151	alt.atheism_20041104.2428-E46-106
EM152	alt.atheism_20041104.2428-E47-107
EM112	alt.atheism_20041104.2428-E41-108
EM106	alt.atheism_20041104.2428-E29-109
EM154	alt.atheism_20041104.2428-E52-110
EM155	alt.atheism_20041104.2428-E53-111
EM156	alt.atheism_20041104.2428-E54-112
EM158	alt.atheism_20041104.2428-E47-113
EM159	alt.atheism_20041104.2428-E55-114
EM4	alt.atheism_20041104.2428-E60-115
EM6	alt.atheism_20041104.2428-E78-116
EM160	alt.atheism_20041104.2428-E56-117
EM161	alt.atheism_20041104.2428-E57-118
EM103	alt.atheism_20041104.2428-E35-119
EM92	alt.atheism_20041104.2428-E58-120
EM69	alt.atheism_20041104.2428-E59-121
EM68	alt.atheism_20041104.2428-E61-122
EM157	alt.atheism_20041104.2428-E46-123
EM89	alt.atheism_20041104.2428-E62-124
EM11	alt.atheism_20041104.2428-E63-125
EM25	alt.atheism_20041104.2428-E1-126
EM5	alt.atheism_20041104.2428-E78-127
EM33	alt.atheism_20041104.2428-E1-128
EM54	alt.atheism_20041104.2428-E6-129
EM13	alt.atheism_20041104.2428-E1-130
EM55	alt.atheism_20041104.2428-E63-131
EM88	alt.atheism_20041104.2428-E64-132
EM59	alt.atheism_20041104.2428-E65-133
EM71	alt.atheism_20041104.2428-E66-134
EM74	alt.atheism_20041104.2428-E67-135
EM79	alt.atheism_20041104.2428-E68-136
EM95	alt.atheism_20041104.2428-E69-137
EM97	alt.atheism_20041104.2428-E70-138
EM99	alt.atheism_20041104.2428-E71-139
EM100	alt.atheism_20041104.2428-E72-140
EM101	alt.atheism_20041104.2428-E73-141
EM108	alt.atheism_20041104.2428-E74-142
EM21	alt.atheism_20041104.2428-E87-143
EM17	alt.atheism_20041104.2428-E87-144
EM53	alt.atheism_20041104.2428-E75-145
EM51	alt.atheism_20041104.2428-E76-146
EM22	alt.atheism_20041104.2428-E77-147
EM57	alt.atheism_20041104.2428-E6-148
EM58	alt.atheism_20041104.2428-E79-149
EM48	alt.atheism_20041104.2428-E12-150
EM7	alt.atheism_20041104.2428-E80-151
EM8	alt.atheism_20041104.2428-E81-152
EM9	alt.atheism_20041104.2428-E78-153
EM14	alt.atheism_20041104.2428-E82-154
EM15	alt.atheism_20041104.2428-E83-155
EM16	alt.atheism_20041104.2428-E83-156
EM18	alt.atheism_20041104.2428-E84-157
EM19	alt.atheism_20041104.2428-E10-158
EM56	alt.atheism_20041104.2428-E85-159
EM20	alt.atheism_20041104.2428-E86-160
EM41	alt.atheism_20041104.2428-E9-161
R6	alt.atheism_20041104.2428-R1
R16	alt.atheism_20041104.2428-R2
R2	alt.atheism_20041104.2428-R3
R3	alt.atheism_20041104.2428-R4
R4	alt.atheism_20041104.2428-R5
R5	alt.atheism_20041104.2428-R6
R7	alt.atheism_20041104.2428-R7
R8	alt.atheism_20041104.2428-R8
R9	alt.atheism_20041104.2428-R9
R10	alt.atheism_20041104.2428-R10
R11	alt.atheism_20041104.2428-R11
R12	alt.atheism_20041104.2428-R12
R13	alt.atheism_20041104.2428-R13
R14	alt.atheism_20041104.2428-R14
R15	alt.atheism_20041104.2428-R15
R17	alt.atheism_20041104.2428-R16
R18	alt.atheism_20041104.2428-R17
R1	alt.atheism_20041104.2428-R18
RM16	alt.atheism_20041104.2428-R2-1
RM2	alt.atheism_20041104.2428-R3-1
RM3	alt.atheism_20041104.2428-R4-1
RM4	alt.atheism_20041104.2428-R5-1
RM5	alt.atheism_20041104.2428-R6-1
RM7	alt.atheism_20041104.2428-R7-1
RM8	alt.atheism_20041104.2428-R8-1
RM9	alt.atheism_20041104.2428-R9-1
RM10	alt.atheism_20041104.2428-R10-1
RM11	alt.atheism_20041104.2428-R11-1
RM12	alt.atheism_20041104.2428-R12-1
RM13	alt.atheism_20041104.2428-R13-1
RM14	alt.atheism_20041104.2428-R14-1
RM15	alt.atheism_20041104.2428-R15-1
RM17	alt.atheism_20041104.2428-R16-1
RM18	alt.atheism_20041104.2428-R17-1
RM1	alt.atheism_20041104.2428-R18-1
RM6	alt.atheism_20041104.2428-R1-1
V7	alt.atheism_20041104.2428-EV1
V8	alt.atheism_20041104.2428-EV2
V9	alt.atheism_20041104.2428-EV3
V10	alt.atheism_20041104.2428-EV4
V16	alt.atheism_20041104.2428-EV5
V17	alt.atheism_20041104.2428-EV6
V1	alt.atheism_20041104.2428-EV7
V2	alt.atheism_20041104.2428-EV8
V3	alt.atheism_20041104.2428-EV9
V4	alt.atheism_20041104.2428-EV10
V5	alt.atheism_20041104.2428-EV11
V6	alt.atheism_20041104.2428-EV12
V11	alt.atheism_20041104.2428-EV13
V12	alt.atheism_20041104.2428-EV14
V19	alt.atheism_20041104.2428-EV15
VM7	alt.atheism_20041104.2428-EV1-1
VM8	alt.atheism_20041104.2428-EV2-1
VM9	alt.atheism_20041104.2428-EV3-1
VM10	alt.atheism_20041104.2428-EV4-1
VM13	alt.atheism_20041104.2428-EV5-1
VM14	alt.atheism_20041104.2428-EV6-1
VM1	alt.atheism_20041104.2428-EV7-1
VM2	alt.atheism_20041104.2428-EV8-1
VM3	alt.atheism_20041104.2428-EV9-1
VM4	alt.atheism_20041104.2428-EV10-1
VM5	alt.atheism_20041104.2428-EV11-1
VM6	alt.atheism_20041104.2428-EV12-1
VM11	alt.atheism_20041104.2428-EV13-1
VM12	alt.atheism_20041104.2428-EV14-1
VM15	alt.atheism_20041104.2428-EV15-1
Q34	alt.atheism_20041104.2428-T1
Q1	alt.atheism_20041104.2428-T2
Q2	alt.atheism_20041104.2428-T3
Q3	alt.atheism_20041104.2428-T4
Q6	alt.atheism_20041104.2428-T5
Q8	alt.atheism_20041104.2428-T6
Q10	alt.atheism_20041104.2428-T7
Q11	alt.atheism_20041104.2428-T8
Q14	alt.atheism_20041104.2428-T9
Q18	alt.atheism_20041104.2428-T10
Q20	alt.atheism_20041104.2428-T11
Q21	alt.atheism_20041104.2428-T12
Q24	alt.atheism_20041104.2428-T13
Q25	alt.atheism_20041104.2428-T14
Q30	alt.atheism_20041104.2428-T15
Q33	alt.atheism_20041104.2428-T16
Q35	alt.atheism_20041104.2428-V1
Q4	alt.atheism_20041104.2428-T17
Q5	alt.atheism_20041104.2428-V2
Q7	alt.atheism_20041104.2428-T18
Q9	alt.atheism_20041104.2428-T19
Q12	alt.atheism_20041104.2428-T20
Q13	alt.atheism_20041104.2428-V3
Q15	alt.atheism_20041104.2428-T21
Q16	alt.atheism_20041104.2428-V4
Q19	alt.atheism_20041104.2428-V5
Q22	alt.atheism_20041104.2428-T22
Q23	alt.atheism_20041104.2428-V6
Q26	alt.atheism_20041104.2428-T23
Q29	alt.atheism_20041104.2428-V7
Q31	alt.atheism_20041104.2428-T24
QM35	alt.atheism_20041104.2428-V1-1
QM5	alt.atheism_20041104.2428-V2-1
QM13	alt.atheism_20041104.2428-V3-1
QM16	alt.atheism_20041104.2428-V4-1
QM19	alt.atheism_20041104.2428-V5-1
QM23	alt.atheism_20041104.2428-V6-1
QM29	alt.atheism_20041104.2428-V7-1
