CE20	rec.travel.cruises_20050222.0313-CE1
E44	rec.travel.cruises_20050222.0313-E31
E45	rec.travel.cruises_20050222.0313-E32
E46	rec.travel.cruises_20050222.0313-E33
E47	rec.travel.cruises_20050222.0313-E34
E48	rec.travel.cruises_20050222.0313-E35
E49	rec.travel.cruises_20050222.0313-E36
E50	rec.travel.cruises_20050222.0313-E37
E51	rec.travel.cruises_20050222.0313-E38
E52	rec.travel.cruises_20050222.0313-E39
E53	rec.travel.cruises_20050222.0313-E40
E54	rec.travel.cruises_20050222.0313-E41
E55	rec.travel.cruises_20050222.0313-E42
E56	rec.travel.cruises_20050222.0313-E43
E57	rec.travel.cruises_20050222.0313-E44
E58	rec.travel.cruises_20050222.0313-E45
E59	rec.travel.cruises_20050222.0313-E46
E60	rec.travel.cruises_20050222.0313-E47
E61	rec.travel.cruises_20050222.0313-E48
E62	rec.travel.cruises_20050222.0313-E49
E63	rec.travel.cruises_20050222.0313-E50
E66	rec.travel.cruises_20050222.0313-E51
E67	rec.travel.cruises_20050222.0313-E52
E68	rec.travel.cruises_20050222.0313-E53
E69	rec.travel.cruises_20050222.0313-E54
E71	rec.travel.cruises_20050222.0313-E55
E72	rec.travel.cruises_20050222.0313-E56
E73	rec.travel.cruises_20050222.0313-E57
E74	rec.travel.cruises_20050222.0313-E58
E2	rec.travel.cruises_20050222.0313-E59
E75	rec.travel.cruises_20050222.0313-E60
E4	rec.travel.cruises_20050222.0313-E61
E6	rec.travel.cruises_20050222.0313-E62
E7	rec.travel.cruises_20050222.0313-E63
E8	rec.travel.cruises_20050222.0313-E64
E9	rec.travel.cruises_20050222.0313-E65
E11	rec.travel.cruises_20050222.0313-E66
E76	rec.travel.cruises_20050222.0313-E67
E13	rec.travel.cruises_20050222.0313-E68
E14	rec.travel.cruises_20050222.0313-E69
EM18	rec.travel.cruises_20050222.0313-E1-1
EM25	rec.travel.cruises_20050222.0313-E4-2
EM19	rec.travel.cruises_20050222.0313-E63-3
EM20	rec.travel.cruises_20050222.0313-E2-4
EM21	rec.travel.cruises_20050222.0313-E63-5
EM22	rec.travel.cruises_20050222.0313-E63-6
EM1	rec.travel.cruises_20050222.0313-E63-7
EM23	rec.travel.cruises_20050222.0313-E3-8
EM24	rec.travel.cruises_20050222.0313-E59-9
EM8	rec.travel.cruises_20050222.0313-E6-10
EM26	rec.travel.cruises_20050222.0313-E61-11
EM27	rec.travel.cruises_20050222.0313-E65-12
EM28	rec.travel.cruises_20050222.0313-E63-13
EM29	rec.travel.cruises_20050222.0313-E5-14
EM30	rec.travel.cruises_20050222.0313-E59-15
EM106	rec.travel.cruises_20050222.0313-E23-16
EM32	rec.travel.cruises_20050222.0313-E7-17
EM33	rec.travel.cruises_20050222.0313-E8-18
EM34	rec.travel.cruises_20050222.0313-E9-19
EM35	rec.travel.cruises_20050222.0313-E10-20
EM36	rec.travel.cruises_20050222.0313-E3-21
EM37	rec.travel.cruises_20050222.0313-E11-22
EM38	rec.travel.cruises_20050222.0313-E12-23
EM39	rec.travel.cruises_20050222.0313-E59-24
EM40	rec.travel.cruises_20050222.0313-E13-25
EM41	rec.travel.cruises_20050222.0313-E61-26
EM42	rec.travel.cruises_20050222.0313-E3-27
EM43	rec.travel.cruises_20050222.0313-E14-28
EM44	rec.travel.cruises_20050222.0313-E15-29
EM45	rec.travel.cruises_20050222.0313-E14-30
EM46	rec.travel.cruises_20050222.0313-E16-31
EM47	rec.travel.cruises_20050222.0313-E17-32
EM48	rec.travel.cruises_20050222.0313-E19-33
EM49	rec.travel.cruises_20050222.0313-E20-34
EM50	rec.travel.cruises_20050222.0313-E59-35
EM51	rec.travel.cruises_20050222.0313-E21-36
EM52	rec.travel.cruises_20050222.0313-E14-37
EM55	rec.travel.cruises_20050222.0313-E24-38
EM56	rec.travel.cruises_20050222.0313-E61-39
EM57	rec.travel.cruises_20050222.0313-E25-40
EM59	rec.travel.cruises_20050222.0313-E22-41
EM60	rec.travel.cruises_20050222.0313-E26-42
EM61	rec.travel.cruises_20050222.0313-E27-43
EM62	rec.travel.cruises_20050222.0313-E22-44
EM63	rec.travel.cruises_20050222.0313-E22-45
EM64	rec.travel.cruises_20050222.0313-E28-46
EM65	rec.travel.cruises_20050222.0313-E29-47
EM66	rec.travel.cruises_20050222.0313-E59-48
EM67	rec.travel.cruises_20050222.0313-E30-49
EM68	rec.travel.cruises_20050222.0313-E61-50
EM69	rec.travel.cruises_20050222.0313-E63-51
EM70	rec.travel.cruises_20050222.0313-E61-52
EM13	rec.travel.cruises_20050222.0313-E31-53
EM72	rec.travel.cruises_20050222.0313-E32-54
EM71	rec.travel.cruises_20050222.0313-E63-55
EM73	rec.travel.cruises_20050222.0313-E33-56
EM75	rec.travel.cruises_20050222.0313-E34-57
EM76	rec.travel.cruises_20050222.0313-E35-58
EM74	rec.travel.cruises_20050222.0313-E36-59
EM77	rec.travel.cruises_20050222.0313-E37-60
EM31	rec.travel.cruises_20050222.0313-E60-61
EM79	rec.travel.cruises_20050222.0313-E38-62
EM80	rec.travel.cruises_20050222.0313-E39-63
EM81	rec.travel.cruises_20050222.0313-E39-64
EM82	rec.travel.cruises_20050222.0313-E18-65
EM83	rec.travel.cruises_20050222.0313-E40-66
EM85	rec.travel.cruises_20050222.0313-E41-67
EM84	rec.travel.cruises_20050222.0313-E39-68
EM86	rec.travel.cruises_20050222.0313-E59-69
EM87	rec.travel.cruises_20050222.0313-E18-70
EM88	rec.travel.cruises_20050222.0313-E42-71
EM89	rec.travel.cruises_20050222.0313-E59-72
EM90	rec.travel.cruises_20050222.0313-E43-73
EM91	rec.travel.cruises_20050222.0313-E61-74
EM92	rec.travel.cruises_20050222.0313-E44-75
EM93	rec.travel.cruises_20050222.0313-E44-76
EM94	rec.travel.cruises_20050222.0313-E45-77
EM95	rec.travel.cruises_20050222.0313-E46-78
EM96	rec.travel.cruises_20050222.0313-E44-79
EM97	rec.travel.cruises_20050222.0313-E47-80
EM78	rec.travel.cruises_20050222.0313-E48-81
EM2	rec.travel.cruises_20050222.0313-E59-82
EM98	rec.travel.cruises_20050222.0313-E49-83
EM99	rec.travel.cruises_20050222.0313-E42-84
EM100	rec.travel.cruises_20050222.0313-E42-85
EM101	rec.travel.cruises_20050222.0313-E59-86
EM102	rec.travel.cruises_20050222.0313-E50-87
EM103	rec.travel.cruises_20050222.0313-E61-88
EM104	rec.travel.cruises_20050222.0313-E39-89
EM105	rec.travel.cruises_20050222.0313-E39-90
EM107	rec.travel.cruises_20050222.0313-E39-91
EM108	rec.travel.cruises_20050222.0313-E39-92
EM109	rec.travel.cruises_20050222.0313-E39-93
EM110	rec.travel.cruises_20050222.0313-E51-94
EM111	rec.travel.cruises_20050222.0313-E59-95
EM112	rec.travel.cruises_20050222.0313-E52-96
EM113	rec.travel.cruises_20050222.0313-E61-97
EM114	rec.travel.cruises_20050222.0313-E51-98
EM115	rec.travel.cruises_20050222.0313-E46-99
EM117	rec.travel.cruises_20050222.0313-E51-100
EM118	rec.travel.cruises_20050222.0313-E53-101
EM119	rec.travel.cruises_20050222.0313-E54-102
EM120	rec.travel.cruises_20050222.0313-E55-103
EM121	rec.travel.cruises_20050222.0313-E63-104
EM122	rec.travel.cruises_20050222.0313-E56-105
EM123	rec.travel.cruises_20050222.0313-E51-106
EM124	rec.travel.cruises_20050222.0313-E57-107
EM125	rec.travel.cruises_20050222.0313-E58-108
EM53	rec.travel.cruises_20050222.0313-E29-109
EM116	rec.travel.cruises_20050222.0313-E44-110
EM54	rec.travel.cruises_20050222.0313-E59-111
EM4	rec.travel.cruises_20050222.0313-E61-112
EM3	rec.travel.cruises_20050222.0313-E62-113
EM5	rec.travel.cruises_20050222.0313-E63-114
EM6	rec.travel.cruises_20050222.0313-E61-115
EM7	rec.travel.cruises_20050222.0313-E63-116
EM9	rec.travel.cruises_20050222.0313-E64-117
EM10	rec.travel.cruises_20050222.0313-E65-118
EM11	rec.travel.cruises_20050222.0313-E63-119
EM12	rec.travel.cruises_20050222.0313-E66-120
EM58	rec.travel.cruises_20050222.0313-E67-121
EM14	rec.travel.cruises_20050222.0313-E63-122
EM15	rec.travel.cruises_20050222.0313-E68-123
EM16	rec.travel.cruises_20050222.0313-E63-124
EM17	rec.travel.cruises_20050222.0313-E69-125
R6	rec.travel.cruises_20050222.0313-R1
R10	rec.travel.cruises_20050222.0313-R2
R1	rec.travel.cruises_20050222.0313-R3
R2	rec.travel.cruises_20050222.0313-R4
R3	rec.travel.cruises_20050222.0313-R5
R4	rec.travel.cruises_20050222.0313-R6
R12	rec.travel.cruises_20050222.0313-R7
R7	rec.travel.cruises_20050222.0313-R8
R8	rec.travel.cruises_20050222.0313-R9
R9	rec.travel.cruises_20050222.0313-R10
R11	rec.travel.cruises_20050222.0313-R11
R13	rec.travel.cruises_20050222.0313-R12
R14	rec.travel.cruises_20050222.0313-R13
R15	rec.travel.cruises_20050222.0313-R14
R16	rec.travel.cruises_20050222.0313-R15
R5	rec.travel.cruises_20050222.0313-R16
R17	rec.travel.cruises_20050222.0313-R17
R18	rec.travel.cruises_20050222.0313-R18
R19	rec.travel.cruises_20050222.0313-R19
RM6	rec.travel.cruises_20050222.0313-R1-1
RM10	rec.travel.cruises_20050222.0313-R2-1
RM12	rec.travel.cruises_20050222.0313-R7-1
RM1	rec.travel.cruises_20050222.0313-R3-1
RM2	rec.travel.cruises_20050222.0313-R4-1
RM3	rec.travel.cruises_20050222.0313-R4-2
RM4	rec.travel.cruises_20050222.0313-R6-1
RM14	rec.travel.cruises_20050222.0313-R13-1
RM7	rec.travel.cruises_20050222.0313-R8-1
RM8	rec.travel.cruises_20050222.0313-R9-1
RM9	rec.travel.cruises_20050222.0313-R10-1
RM11	rec.travel.cruises_20050222.0313-R11-1
RM13	rec.travel.cruises_20050222.0313-R12-1
RM15	rec.travel.cruises_20050222.0313-R14-1
RM5	rec.travel.cruises_20050222.0313-R16-1
RM16	rec.travel.cruises_20050222.0313-R15-1
RM17	rec.travel.cruises_20050222.0313-R15-2
RM18	rec.travel.cruises_20050222.0313-R18-1
RM19	rec.travel.cruises_20050222.0313-R19-1
Q1	rec.travel.cruises_20050222.0313-T1
Q2	rec.travel.cruises_20050222.0313-T2
Q3	rec.travel.cruises_20050222.0313-T3
Q5	rec.travel.cruises_20050222.0313-V1
Q6	rec.travel.cruises_20050222.0313-V2
Q7	rec.travel.cruises_20050222.0313-V3
Q4	rec.travel.cruises_20050222.0313-T4
Q8	rec.travel.cruises_20050222.0313-T5
Q9	rec.travel.cruises_20050222.0313-T6
Q10	rec.travel.cruises_20050222.0313-V4
Q11	rec.travel.cruises_20050222.0313-T7
Q13	rec.travel.cruises_20050222.0313-T8
Q14	rec.travel.cruises_20050222.0313-T9
Q12	rec.travel.cruises_20050222.0313-T10
Q15	rec.travel.cruises_20050222.0313-T11
Q16	rec.travel.cruises_20050222.0313-V5
Q17	rec.travel.cruises_20050222.0313-T12
Q18	rec.travel.cruises_20050222.0313-T13
Q19	rec.travel.cruises_20050222.0313-T14
Q20	rec.travel.cruises_20050222.0313-T15
Q21	rec.travel.cruises_20050222.0313-V6
Q22	rec.travel.cruises_20050222.0313-T16
Q23	rec.travel.cruises_20050222.0313-T17
QM5	rec.travel.cruises_20050222.0313-V1-1
QM6	rec.travel.cruises_20050222.0313-V2-1
QM7	rec.travel.cruises_20050222.0313-V3-1
QM10	rec.travel.cruises_20050222.0313-V4-1
QM16	rec.travel.cruises_20050222.0313-V5-1
QM21	rec.travel.cruises_20050222.0313-V6-1
