CE9	alt.politics.economics_20041206.1835-CE1
E2	alt.politics.economics_20041206.1835-E27
E39	alt.politics.economics_20041206.1835-E28
E3	alt.politics.economics_20041206.1835-E29
E40	alt.politics.economics_20041206.1835-E30
E4	alt.politics.economics_20041206.1835-E31
E6	alt.politics.economics_20041206.1835-E32
E7	alt.politics.economics_20041206.1835-E33
E9	alt.politics.economics_20041206.1835-E34
EM17	alt.politics.economics_20041206.1835-E1-1
EM18	alt.politics.economics_20041206.1835-E2-2
EM19	alt.politics.economics_20041206.1835-E3-3
EM20	alt.politics.economics_20041206.1835-E4-4
EM21	alt.politics.economics_20041206.1835-E5-5
EM22	alt.politics.economics_20041206.1835-E27-6
EM23	alt.politics.economics_20041206.1835-E23-7
EM24	alt.politics.economics_20041206.1835-E23-8
EM25	alt.politics.economics_20041206.1835-E23-9
EM26	alt.politics.economics_20041206.1835-E6-10
EM27	alt.politics.economics_20041206.1835-E7-11
EM28	alt.politics.economics_20041206.1835-E8-12
EM29	alt.politics.economics_20041206.1835-E9-13
EM33	alt.politics.economics_20041206.1835-E13-14
EM30	alt.politics.economics_20041206.1835-E10-15
EM31	alt.politics.economics_20041206.1835-E11-16
EM54	alt.politics.economics_20041206.1835-E28-17
EM32	alt.politics.economics_20041206.1835-E10-18
EM56	alt.politics.economics_20041206.1835-E12-19
EM51	alt.politics.economics_20041206.1835-E22-20
EM34	alt.politics.economics_20041206.1835-E23-21
EM35	alt.politics.economics_20041206.1835-E13-22
EM36	alt.politics.economics_20041206.1835-E23-23
EM37	alt.politics.economics_20041206.1835-E33-24
EM38	alt.politics.economics_20041206.1835-E14-25
EM39	alt.politics.economics_20041206.1835-E27-26
EM40	alt.politics.economics_20041206.1835-E13-27
EM41	alt.politics.economics_20041206.1835-E15-28
EM42	alt.politics.economics_20041206.1835-E16-29
EM43	alt.politics.economics_20041206.1835-E16-30
EM44	alt.politics.economics_20041206.1835-E23-31
EM45	alt.politics.economics_20041206.1835-E17-32
EM46	alt.politics.economics_20041206.1835-E18-33
EM47	alt.politics.economics_20041206.1835-E19-34
EM48	alt.politics.economics_20041206.1835-E20-35
EM49	alt.politics.economics_20041206.1835-E23-36
EM50	alt.politics.economics_20041206.1835-E21-37
EM53	alt.politics.economics_20041206.1835-E24-38
EM57	alt.politics.economics_20041206.1835-E16-39
EM58	alt.politics.economics_20041206.1835-E15-40
EM59	alt.politics.economics_20041206.1835-E15-41
EM60	alt.politics.economics_20041206.1835-E25-42
EM61	alt.politics.economics_20041206.1835-E23-43
EM62	alt.politics.economics_20041206.1835-E13-44
EM63	alt.politics.economics_20041206.1835-E26-45
EM55	alt.politics.economics_20041206.1835-E28-46
EM64	alt.politics.economics_20041206.1835-E30-47
EM1	alt.politics.economics_20041206.1835-E31-48
EM2	alt.politics.economics_20041206.1835-E32-49
EM3	alt.politics.economics_20041206.1835-E31-50
EM4	alt.politics.economics_20041206.1835-E29-51
EM52	alt.politics.economics_20041206.1835-E23-52
EM5	alt.politics.economics_20041206.1835-E31-53
EM6	alt.politics.economics_20041206.1835-E29-54
EM7	alt.politics.economics_20041206.1835-E27-55
EM8	alt.politics.economics_20041206.1835-E29-56
EM9	alt.politics.economics_20041206.1835-E29-57
EM10	alt.politics.economics_20041206.1835-E29-58
EM11	alt.politics.economics_20041206.1835-E23-59
EM12	alt.politics.economics_20041206.1835-E33-60
EM13	alt.politics.economics_20041206.1835-E34-61
EM14	alt.politics.economics_20041206.1835-E27-62
EM15	alt.politics.economics_20041206.1835-E29-63
EM16	alt.politics.economics_20041206.1835-E23-64
R1	alt.politics.economics_20041206.1835-R1
R2	alt.politics.economics_20041206.1835-R2
R5	alt.politics.economics_20041206.1835-R3
R6	alt.politics.economics_20041206.1835-R4
R3	alt.politics.economics_20041206.1835-R5
R4	alt.politics.economics_20041206.1835-R6
R7	alt.politics.economics_20041206.1835-R7
R8	alt.politics.economics_20041206.1835-R8
R9	alt.politics.economics_20041206.1835-R9
RM1	alt.politics.economics_20041206.1835-R1-1
RM2	alt.politics.economics_20041206.1835-R2-1
RM5	alt.politics.economics_20041206.1835-R3-1
RM6	alt.politics.economics_20041206.1835-R4-1
RM3	alt.politics.economics_20041206.1835-R5-1
RM4	alt.politics.economics_20041206.1835-R6-1
RM7	alt.politics.economics_20041206.1835-R7-1
RM8	alt.politics.economics_20041206.1835-R8-1
RM9	alt.politics.economics_20041206.1835-R2-2
V1	alt.politics.economics_20041206.1835-EV1
V2	alt.politics.economics_20041206.1835-EV2
VM1	alt.politics.economics_20041206.1835-EV1-1
VM2	alt.politics.economics_20041206.1835-EV2-1
Q1	alt.politics.economics_20041206.1835-T1
Q2	alt.politics.economics_20041206.1835-T2
Q4	alt.politics.economics_20041206.1835-T3
Q3	alt.politics.economics_20041206.1835-T4
