CE12	rec.arts.mystery_20050219.1126-CE1
EM26	rec.arts.mystery_20050219.1126-E3-4
EM27	rec.arts.mystery_20050219.1126-E36-5
EM28	rec.arts.mystery_20050219.1126-E36-6
EM29	rec.arts.mystery_20050219.1126-E1-7
EM30	rec.arts.mystery_20050219.1126-E4-8
EM31	rec.arts.mystery_20050219.1126-E5-9
EM32	rec.arts.mystery_20050219.1126-E36-10
EM34	rec.arts.mystery_20050219.1126-E6-11
EM35	rec.arts.mystery_20050219.1126-E36-12
EM40	rec.arts.mystery_20050219.1126-E36-13
EM43	rec.arts.mystery_20050219.1126-E36-14
EM44	rec.arts.mystery_20050219.1126-E36-15
EM48	rec.arts.mystery_20050219.1126-E36-16
EM50	rec.arts.mystery_20050219.1126-E36-17
EM51	rec.arts.mystery_20050219.1126-E36-18
EM52	rec.arts.mystery_20050219.1126-E7-19
EM53	rec.arts.mystery_20050219.1126-E8-20
EM56	rec.arts.mystery_20050219.1126-E36-21
EM57	rec.arts.mystery_20050219.1126-E36-22
EM60	rec.arts.mystery_20050219.1126-E36-23
EM64	rec.arts.mystery_20050219.1126-E36-24
EM20	rec.arts.mystery_20050219.1126-E9-25
EM21	rec.arts.mystery_20050219.1126-E10-26
EM7	rec.arts.mystery_20050219.1126-E2-27
EM4	rec.arts.mystery_20050219.1126-E2-28
EM5	rec.arts.mystery_20050219.1126-E11-29
EM39	rec.arts.mystery_20050219.1126-E12-30
EM41	rec.arts.mystery_20050219.1126-E1-31
EM42	rec.arts.mystery_20050219.1126-E13-32
EM45	rec.arts.mystery_20050219.1126-E14-33
EM47	rec.arts.mystery_20050219.1126-E14-34
EM49	rec.arts.mystery_20050219.1126-E2-35
EM55	rec.arts.mystery_20050219.1126-E15-36
EM58	rec.arts.mystery_20050219.1126-E16-37
EM59	rec.arts.mystery_20050219.1126-E16-38
EM61	rec.arts.mystery_20050219.1126-E16-39
EM63	rec.arts.mystery_20050219.1126-E16-40
EM62	rec.arts.mystery_20050219.1126-E18-41
EM65	rec.arts.mystery_20050219.1126-E19-42
EM37	rec.arts.mystery_20050219.1126-E20-43
EM36	rec.arts.mystery_20050219.1126-E2-44
EM38	rec.arts.mystery_20050219.1126-E21-45
EM66	rec.arts.mystery_20050219.1126-E22-46
EM67	rec.arts.mystery_20050219.1126-E23-47
EM68	rec.arts.mystery_20050219.1126-E24-48
EM69	rec.arts.mystery_20050219.1126-E22-49
EM70	rec.arts.mystery_20050219.1126-E25-50
EM72	rec.arts.mystery_20050219.1126-E26-51
EM73	rec.arts.mystery_20050219.1126-E2-52
EM77	rec.arts.mystery_20050219.1126-E2-53
EM74	rec.arts.mystery_20050219.1126-E27-54
EM75	rec.arts.mystery_20050219.1126-E28-55
EM76	rec.arts.mystery_20050219.1126-E29-56
EM90	rec.arts.mystery_20050219.1126-E2-57
EM83	rec.arts.mystery_20050219.1126-E30-58
EM79	rec.arts.mystery_20050219.1126-E30-59
EM80	rec.arts.mystery_20050219.1126-E30-60
EM81	rec.arts.mystery_20050219.1126-E30-61
EM82	rec.arts.mystery_20050219.1126-E30-62
EM54	rec.arts.mystery_20050219.1126-E39-63
EM78	rec.arts.mystery_20050219.1126-E19-64
EM84	rec.arts.mystery_20050219.1126-E31-65
EM88	rec.arts.mystery_20050219.1126-E37-66
EM89	rec.arts.mystery_20050219.1126-E32-67
EM91	rec.arts.mystery_20050219.1126-E37-68
EM92	rec.arts.mystery_20050219.1126-E33-69
EM2	rec.arts.mystery_20050219.1126-E36-70
EM71	rec.arts.mystery_20050219.1126-E34-71
EM85	rec.arts.mystery_20050219.1126-E31-72
EM87	rec.arts.mystery_20050219.1126-E38-73
EM18	rec.arts.mystery_20050219.1126-E42-74
EM93	rec.arts.mystery_20050219.1126-E37-75
EM46	rec.arts.mystery_20050219.1126-E35-76
EM15	rec.arts.mystery_20050219.1126-E37-77
EM33	rec.arts.mystery_20050219.1126-E5-78
EM3	rec.arts.mystery_20050219.1126-E37-79
EM86	rec.arts.mystery_20050219.1126-E38-80
EM6	rec.arts.mystery_20050219.1126-E37-81
EM8	rec.arts.mystery_20050219.1126-E36-82
EM9	rec.arts.mystery_20050219.1126-E37-83
EM10	rec.arts.mystery_20050219.1126-E39-84
EM11	rec.arts.mystery_20050219.1126-E40-85
EM12	rec.arts.mystery_20050219.1126-E40-86
EM13	rec.arts.mystery_20050219.1126-E41-87
EM14	rec.arts.mystery_20050219.1126-E37-88
EM16	rec.arts.mystery_20050219.1126-E42-89
EM17	rec.arts.mystery_20050219.1126-E36-90
EM19	rec.arts.mystery_20050219.1126-E36-91
EM22	rec.arts.mystery_20050219.1126-E36-92
EM23	rec.arts.mystery_20050219.1126-E1-93
R3	rec.arts.mystery_20050219.1126-R1
R1	rec.arts.mystery_20050219.1126-R2
R4	rec.arts.mystery_20050219.1126-R3
R12	rec.arts.mystery_20050219.1126-R4
R5	rec.arts.mystery_20050219.1126-R5
R6	rec.arts.mystery_20050219.1126-R6
R7	rec.arts.mystery_20050219.1126-R7
R2	rec.arts.mystery_20050219.1126-R8
R8	rec.arts.mystery_20050219.1126-R9
R9	rec.arts.mystery_20050219.1126-R10
R10	rec.arts.mystery_20050219.1126-R11
R11	rec.arts.mystery_20050219.1126-R12
R13	rec.arts.mystery_20050219.1126-R13
RM3	rec.arts.mystery_20050219.1126-R1-1
RM2	rec.arts.mystery_20050219.1126-R2-1
RM4	rec.arts.mystery_20050219.1126-R3-1
RM12	rec.arts.mystery_20050219.1126-R4-1
RM5	rec.arts.mystery_20050219.1126-R5-1
RM6	rec.arts.mystery_20050219.1126-R6-1
RM7	rec.arts.mystery_20050219.1126-R7-1
RM1	rec.arts.mystery_20050219.1126-R8-1
RM8	rec.arts.mystery_20050219.1126-R9-1
RM9	rec.arts.mystery_20050219.1126-R9-2
RM10	rec.arts.mystery_20050219.1126-R11-1
RM11	rec.arts.mystery_20050219.1126-R12-1
RM13	rec.arts.mystery_20050219.1126-R13-1
V1	rec.arts.mystery_20050219.1126-EV1
V2	rec.arts.mystery_20050219.1126-EV2
V3	rec.arts.mystery_20050219.1126-EV3
V4	rec.arts.mystery_20050219.1126-EV4
V5	rec.arts.mystery_20050219.1126-EV5
V6	rec.arts.mystery_20050219.1126-EV6
V7	rec.arts.mystery_20050219.1126-EV7
VM1	rec.arts.mystery_20050219.1126-EV1-1
VM2	rec.arts.mystery_20050219.1126-EV2-1
VM3	rec.arts.mystery_20050219.1126-EV3-1
VM4	rec.arts.mystery_20050219.1126-EV4-1
VM5	rec.arts.mystery_20050219.1126-EV5-1
VM6	rec.arts.mystery_20050219.1126-EV6-1
VM7	rec.arts.mystery_20050219.1126-EV7-1
VM8	rec.arts.mystery_20050219.1126-EV2-2
VM9	rec.arts.mystery_20050219.1126-EV3-2
VM10	rec.arts.mystery_20050219.1126-EV2-3
VM11	rec.arts.mystery_20050219.1126-EV3-3
Q1	rec.arts.mystery_20050219.1126-T1
Q2	rec.arts.mystery_20050219.1126-T2
Q5	rec.arts.mystery_20050219.1126-T3
Q3	rec.arts.mystery_20050219.1126-T4
Q4	rec.arts.mystery_20050219.1126-T5
Q6	rec.arts.mystery_20050219.1126-T6
Q7	rec.arts.mystery_20050219.1126-T7
Q8	rec.arts.mystery_20050219.1126-T8
Q9	rec.arts.mystery_20050219.1126-T9
Q10	rec.arts.mystery_20050219.1126-T10
Q11	rec.arts.mystery_20050219.1126-T11
Q13	rec.arts.mystery_20050219.1126-T12
Q12	rec.arts.mystery_20050219.1126-T13
Q17	rec.arts.mystery_20050219.1126-T14
Q16	rec.arts.mystery_20050219.1126-T15
Q18	rec.arts.mystery_20050219.1126-T16
Q19	rec.arts.mystery_20050219.1126-T17
Q20	rec.arts.mystery_20050219.1126-T18
Q14	rec.arts.mystery_20050219.1126-T19
Q15	rec.arts.mystery_20050219.1126-T20
