CE12	alt.corel_20041228.0503-CE1
EM28	alt.corel_20041228.0503-E55-8
EM29	alt.corel_20041228.0503-E6-9
EM30	alt.corel_20041228.0503-E63-10
EM31	alt.corel_20041228.0503-E7-11
EM32	alt.corel_20041228.0503-E55-12
EM33	alt.corel_20041228.0503-E8-13
EM34	alt.corel_20041228.0503-E59-14
EM35	alt.corel_20041228.0503-E55-15
EM36	alt.corel_20041228.0503-E55-16
EM37	alt.corel_20041228.0503-E1-17
EM38	alt.corel_20041228.0503-E9-18
EM39	alt.corel_20041228.0503-E10-19
EM40	alt.corel_20041228.0503-E11-20
EM41	alt.corel_20041228.0503-E12-21
EM42	alt.corel_20041228.0503-E9-22
EM44	alt.corel_20041228.0503-E13-23
EM45	alt.corel_20041228.0503-E14-24
EM46	alt.corel_20041228.0503-E61-25
EM47	alt.corel_20041228.0503-E63-26
EM48	alt.corel_20041228.0503-E15-27
EM49	alt.corel_20041228.0503-E16-28
EM50	alt.corel_20041228.0503-E17-29
EM51	alt.corel_20041228.0503-E18-30
EM52	alt.corel_20041228.0503-E12-31
EM57	alt.corel_20041228.0503-E24-32
EM54	alt.corel_20041228.0503-E63-33
EM55	alt.corel_20041228.0503-E19-34
EM56	alt.corel_20041228.0503-E1-35
EM53	alt.corel_20041228.0503-E1-36
EM58	alt.corel_20041228.0503-E20-37
EM59	alt.corel_20041228.0503-E21-38
EM61	alt.corel_20041228.0503-E23-39
EM62	alt.corel_20041228.0503-E36-40
EM64	alt.corel_20041228.0503-E25-41
EM65	alt.corel_20041228.0503-E5-42
EM66	alt.corel_20041228.0503-E1-43
EM68	alt.corel_20041228.0503-E26-44
EM69	alt.corel_20041228.0503-E61-45
EM70	alt.corel_20041228.0503-E27-46
EM73	alt.corel_20041228.0503-E59-47
EM76	alt.corel_20041228.0503-E63-48
EM77	alt.corel_20041228.0503-E28-49
EM78	alt.corel_20041228.0503-E61-50
EM79	alt.corel_20041228.0503-E63-51
EM80	alt.corel_20041228.0503-E63-52
EM81	alt.corel_20041228.0503-E63-53
EM82	alt.corel_20041228.0503-E63-54
EM83	alt.corel_20041228.0503-E29-55
EM84	alt.corel_20041228.0503-E55-56
EM85	alt.corel_20041228.0503-E30-57
EM86	alt.corel_20041228.0503-E12-58
EM87	alt.corel_20041228.0503-E55-59
EM89	alt.corel_20041228.0503-E55-60
EM88	alt.corel_20041228.0503-E59-61
EM90	alt.corel_20041228.0503-E31-62
EM91	alt.corel_20041228.0503-E61-63
EM92	alt.corel_20041228.0503-E32-64
EM93	alt.corel_20041228.0503-E33-65
EM94	alt.corel_20041228.0503-E63-66
EM95	alt.corel_20041228.0503-E34-67
EM96	alt.corel_20041228.0503-E35-68
EM97	alt.corel_20041228.0503-E37-69
EM98	alt.corel_20041228.0503-E38-70
EM99	alt.corel_20041228.0503-E39-71
EM100	alt.corel_20041228.0503-E1-72
EM102	alt.corel_20041228.0503-E55-73
EM103	alt.corel_20041228.0503-E40-74
EM2	alt.corel_20041228.0503-E55-75
EM104	alt.corel_20041228.0503-E41-76
EM105	alt.corel_20041228.0503-E42-77
EM106	alt.corel_20041228.0503-E42-78
EM107	alt.corel_20041228.0503-E43-79
EM108	alt.corel_20041228.0503-E44-80
EM109	alt.corel_20041228.0503-E45-81
EM110	alt.corel_20041228.0503-E42-82
EM111	alt.corel_20041228.0503-E46-83
EM113	alt.corel_20041228.0503-E47-84
EM114	alt.corel_20041228.0503-E48-85
EM115	alt.corel_20041228.0503-E10-86
EM63	alt.corel_20041228.0503-E49-87
EM116	alt.corel_20041228.0503-E22-88
EM118	alt.corel_20041228.0503-E50-89
EM119	alt.corel_20041228.0503-E51-90
EM120	alt.corel_20041228.0503-E51-91
EM121	alt.corel_20041228.0503-E52-92
EM122	alt.corel_20041228.0503-E53-93
EM123	alt.corel_20041228.0503-E54-94
EM124	alt.corel_20041228.0503-E53-95
EM126	alt.corel_20041228.0503-E53-96
EM127	alt.corel_20041228.0503-E53-97
EM128	alt.corel_20041228.0503-E10-98
EM112	alt.corel_20041228.0503-E47-99
EM67	alt.corel_20041228.0503-E56-100
EM71	alt.corel_20041228.0503-E56-101
EM72	alt.corel_20041228.0503-E56-102
EM75	alt.corel_20041228.0503-E56-103
EM74	alt.corel_20041228.0503-E56-104
EM101	alt.corel_20041228.0503-E12-105
EM117	alt.corel_20041228.0503-E57-106
EM25	alt.corel_20041228.0503-E1-107
EM125	alt.corel_20041228.0503-E52-108
EM3	alt.corel_20041228.0503-E58-109
EM43	alt.corel_20041228.0503-E13-110
EM60	alt.corel_20041228.0503-E20-111
EM4	alt.corel_20041228.0503-E55-112
EM5	alt.corel_20041228.0503-E59-113
EM6	alt.corel_20041228.0503-E55-114
EM7	alt.corel_20041228.0503-E55-115
EM8	alt.corel_20041228.0503-E60-116
EM9	alt.corel_20041228.0503-E61-117
EM10	alt.corel_20041228.0503-E60-118
EM11	alt.corel_20041228.0503-E62-119
EM12	alt.corel_20041228.0503-E64-120
EM13	alt.corel_20041228.0503-E60-121
EM14	alt.corel_20041228.0503-E62-122
EM15	alt.corel_20041228.0503-E65-123
EM16	alt.corel_20041228.0503-E62-124
EM17	alt.corel_20041228.0503-E62-125
EM18	alt.corel_20041228.0503-E55-126
EM19	alt.corel_20041228.0503-E66-127
EM20	alt.corel_20041228.0503-E1-128
R1	alt.corel_20041228.0503-R1
R2	alt.corel_20041228.0503-R2
R3	alt.corel_20041228.0503-R3
R4	alt.corel_20041228.0503-R4
R5	alt.corel_20041228.0503-R5
R6	alt.corel_20041228.0503-R6
R7	alt.corel_20041228.0503-R7
R9	alt.corel_20041228.0503-R8
R10	alt.corel_20041228.0503-R9
R11	alt.corel_20041228.0503-R10
R12	alt.corel_20041228.0503-R11
R13	alt.corel_20041228.0503-R12
R14	alt.corel_20041228.0503-R13
R15	alt.corel_20041228.0503-R14
R16	alt.corel_20041228.0503-R15
R17	alt.corel_20041228.0503-R16
R18	alt.corel_20041228.0503-R17
R19	alt.corel_20041228.0503-R18
R20	alt.corel_20041228.0503-R19
R21	alt.corel_20041228.0503-R20
R23	alt.corel_20041228.0503-R21
R24	alt.corel_20041228.0503-R22
R25	alt.corel_20041228.0503-R23
R22	alt.corel_20041228.0503-R24
R8	alt.corel_20041228.0503-R25
RM1	alt.corel_20041228.0503-R1-1
RM2	alt.corel_20041228.0503-R2-1
RM3	alt.corel_20041228.0503-R3-1
RM4	alt.corel_20041228.0503-R4-1
RM5	alt.corel_20041228.0503-R5-1
RM6	alt.corel_20041228.0503-R6-1
RM7	alt.corel_20041228.0503-R7-1
RM9	alt.corel_20041228.0503-R8-1
RM10	alt.corel_20041228.0503-R9-1
RM11	alt.corel_20041228.0503-R10-1
RM12	alt.corel_20041228.0503-R11-1
RM13	alt.corel_20041228.0503-R12-1
RM14	alt.corel_20041228.0503-R13-1
RM15	alt.corel_20041228.0503-R14-1
RM16	alt.corel_20041228.0503-R15-1
RM17	alt.corel_20041228.0503-R16-1
RM18	alt.corel_20041228.0503-R17-1
RM19	alt.corel_20041228.0503-R18-1
RM20	alt.corel_20041228.0503-R19-1
RM21	alt.corel_20041228.0503-R20-1
RM23	alt.corel_20041228.0503-R21-1
RM24	alt.corel_20041228.0503-R22-1
RM25	alt.corel_20041228.0503-R22-2
RM22	alt.corel_20041228.0503-R24-1
RM8	alt.corel_20041228.0503-R25-1
V1	alt.corel_20041228.0503-EV1
V3	alt.corel_20041228.0503-EV2
V4	alt.corel_20041228.0503-EV3
V5	alt.corel_20041228.0503-EV4
V2	alt.corel_20041228.0503-EV5
VM1	alt.corel_20041228.0503-EV1-1
VM3	alt.corel_20041228.0503-EV2-1
VM4	alt.corel_20041228.0503-EV3-1
VM5	alt.corel_20041228.0503-EV3-2
VM6	alt.corel_20041228.0503-EV4-1
VM2	alt.corel_20041228.0503-EV5-1
Q1	alt.corel_20041228.0503-T1
Q2	alt.corel_20041228.0503-T2
Q3	alt.corel_20041228.0503-T3
Q4	alt.corel_20041228.0503-T4
Q5	alt.corel_20041228.0503-T5
Q6	alt.corel_20041228.0503-T6
Q7	alt.corel_20041228.0503-T7
Q8	alt.corel_20041228.0503-T8
Q9	alt.corel_20041228.0503-T9
Q10	alt.corel_20041228.0503-T10
Q11	alt.corel_20041228.0503-T11
Q12	alt.corel_20041228.0503-T12
Q13	alt.corel_20041228.0503-T13
Q14	alt.corel_20041228.0503-T14
Q15	alt.corel_20041228.0503-T15
Q16	alt.corel_20041228.0503-T16
