CE5	seattle.politics_20050122.2412-CE1
EM1	seattle.politics_20050122.2412-E13-1
EM21	seattle.politics_20050122.2412-E1-2
EM22	seattle.politics_20050122.2412-E29-3
EM23	seattle.politics_20050122.2412-E2-4
EM24	seattle.politics_20050122.2412-E3-5
EM25	seattle.politics_20050122.2412-E4-6
EM20	seattle.politics_20050122.2412-E18-7
EM28	seattle.politics_20050122.2412-E29-8
EM27	seattle.politics_20050122.2412-E29-9
EM29	seattle.politics_20050122.2412-E5-10
EM30	seattle.politics_20050122.2412-E2-11
EM62	seattle.politics_20050122.2412-E18-12
EM31	seattle.politics_20050122.2412-E13-13
EM32	seattle.politics_20050122.2412-E3-14
EM33	seattle.politics_20050122.2412-E13-15
EM35	seattle.politics_20050122.2412-E13-16
EM34	seattle.politics_20050122.2412-E4-17
EM36	seattle.politics_20050122.2412-E1-18
EM37	seattle.politics_20050122.2412-E29-19
EM38	seattle.politics_20050122.2412-E3-20
EM39	seattle.politics_20050122.2412-E28-21
EM40	seattle.politics_20050122.2412-E28-22
EM41	seattle.politics_20050122.2412-E6-23
EM42	seattle.politics_20050122.2412-E28-24
EM43	seattle.politics_20050122.2412-E7-25
EM99	seattle.politics_20050122.2412-E23-26
EM7	seattle.politics_20050122.2412-E12-27
EM44	seattle.politics_20050122.2412-E8-28
EM45	seattle.politics_20050122.2412-E2-29
EM46	seattle.politics_20050122.2412-E28-30
EM47	seattle.politics_20050122.2412-E31-31
EM48	seattle.politics_20050122.2412-E31-32
EM49	seattle.politics_20050122.2412-E31-33
EM50	seattle.politics_20050122.2412-E2-34
EM51	seattle.politics_20050122.2412-E9-35
EM52	seattle.politics_20050122.2412-E3-36
EM53	seattle.politics_20050122.2412-E10-37
EM54	seattle.politics_20050122.2412-E10-38
EM55	seattle.politics_20050122.2412-E7-39
EM56	seattle.politics_20050122.2412-E31-40
EM57	seattle.politics_20050122.2412-E11-41
EM59	seattle.politics_20050122.2412-E11-42
EM58	seattle.politics_20050122.2412-E11-43
EM61	seattle.politics_20050122.2412-E31-44
EM60	seattle.politics_20050122.2412-E28-45
EM65	seattle.politics_20050122.2412-E31-46
EM63	seattle.politics_20050122.2412-E28-47
EM64	seattle.politics_20050122.2412-E28-48
EM66	seattle.politics_20050122.2412-E28-49
EM67	seattle.politics_20050122.2412-E14-50
EM68	seattle.politics_20050122.2412-E2-51
EM69	seattle.politics_20050122.2412-E15-52
EM70	seattle.politics_20050122.2412-E28-53
EM71	seattle.politics_20050122.2412-E16-54
EM14	seattle.politics_20050122.2412-E28-55
EM72	seattle.politics_20050122.2412-E17-56
EM73	seattle.politics_20050122.2412-E13-57
EM74	seattle.politics_20050122.2412-E19-58
EM75	seattle.politics_20050122.2412-E10-59
EM77	seattle.politics_20050122.2412-E20-60
EM78	seattle.politics_20050122.2412-E21-61
EM76	seattle.politics_20050122.2412-E10-62
EM79	seattle.politics_20050122.2412-E28-63
EM80	seattle.politics_20050122.2412-E28-64
EM81	seattle.politics_20050122.2412-E28-65
EM82	seattle.politics_20050122.2412-E28-66
EM84	seattle.politics_20050122.2412-E28-67
EM83	seattle.politics_20050122.2412-E31-68
EM85	seattle.politics_20050122.2412-E31-69
EM86	seattle.politics_20050122.2412-E7-70
EM87	seattle.politics_20050122.2412-E22-71
EM88	seattle.politics_20050122.2412-E28-72
EM90	seattle.politics_20050122.2412-E28-73
EM91	seattle.politics_20050122.2412-E31-74
EM92	seattle.politics_20050122.2412-E28-75
EM93	seattle.politics_20050122.2412-E7-76
EM94	seattle.politics_20050122.2412-E3-77
EM95	seattle.politics_20050122.2412-E10-78
EM96	seattle.politics_20050122.2412-E23-79
EM89	seattle.politics_20050122.2412-E10-80
EM97	seattle.politics_20050122.2412-E24-81
EM98	seattle.politics_20050122.2412-E25-82
EM100	seattle.politics_20050122.2412-E28-83
EM101	seattle.politics_20050122.2412-E28-84
EM102	seattle.politics_20050122.2412-E31-85
EM104	seattle.politics_20050122.2412-E31-86
EM105	seattle.politics_20050122.2412-E28-87
EM106	seattle.politics_20050122.2412-E23-88
EM2	seattle.politics_20050122.2412-E27-89
EM17	seattle.politics_20050122.2412-E31-90
EM103	seattle.politics_20050122.2412-E1-91
EM8	seattle.politics_20050122.2412-E26-92
EM3	seattle.politics_20050122.2412-E28-93
EM4	seattle.politics_20050122.2412-E27-94
EM5	seattle.politics_20050122.2412-E13-95
EM9	seattle.politics_20050122.2412-E30-96
EM10	seattle.politics_20050122.2412-E29-97
EM6	seattle.politics_20050122.2412-E33-98
EM11	seattle.politics_20050122.2412-E28-99
EM12	seattle.politics_20050122.2412-E32-100
EM13	seattle.politics_20050122.2412-E28-101
EM15	seattle.politics_20050122.2412-E28-102
EM26	seattle.politics_20050122.2412-E18-103
EM16	seattle.politics_20050122.2412-E31-104
EM18	seattle.politics_20050122.2412-E31-105
EM19	seattle.politics_20050122.2412-E31-106
R2	seattle.politics_20050122.2412-R1
R1	seattle.politics_20050122.2412-R2
R3	seattle.politics_20050122.2412-R3
RM2	seattle.politics_20050122.2412-R1-1
RM1	seattle.politics_20050122.2412-R2-1
RM3	seattle.politics_20050122.2412-R3-1
V1	seattle.politics_20050122.2412-EV1
V2	seattle.politics_20050122.2412-EV2
VM1	seattle.politics_20050122.2412-EV1-1
VM2	seattle.politics_20050122.2412-EV2-1
Q1	seattle.politics_20050122.2412-T1
Q2	seattle.politics_20050122.2412-T2
Q3	seattle.politics_20050122.2412-T3
Q5	seattle.politics_20050122.2412-T4
Q4	seattle.politics_20050122.2412-T5
Q6	seattle.politics_20050122.2412-T6
Q7	seattle.politics_20050122.2412-T7
Q8	seattle.politics_20050122.2412-T8
Q9	seattle.politics_20050122.2412-T9
Q10	seattle.politics_20050122.2412-T10
Q11	seattle.politics_20050122.2412-T11
