CE9	misc.taxes_20050218.1250-CE1
EM75	misc.taxes_20050218.1250-E6-42
EM76	misc.taxes_20050218.1250-E6-43
EM77	misc.taxes_20050218.1250-E18-44
EM79	misc.taxes_20050218.1250-E17-45
EM80	misc.taxes_20050218.1250-E6-46
EM78	misc.taxes_20050218.1250-E6-47
EM21	misc.taxes_20050218.1250-E19-48
EM52	misc.taxes_20050218.1250-E7-49
EM22	misc.taxes_20050218.1250-E8-50
EM23	misc.taxes_20050218.1250-E9-51
EM12	misc.taxes_20050218.1250-E10-52
EM3	misc.taxes_20050218.1250-E16-53
EM20	misc.taxes_20050218.1250-E19-54
EM1	misc.taxes_20050218.1250-E11-55
EM16	misc.taxes_20050218.1250-E12-56
EM24	misc.taxes_20050218.1250-E13-57
EM43	misc.taxes_20050218.1250-E14-58
EM47	misc.taxes_20050218.1250-E15-59
EM4	misc.taxes_20050218.1250-E6-60
EM5	misc.taxes_20050218.1250-E16-61
EM6	misc.taxes_20050218.1250-E6-62
EM7	misc.taxes_20050218.1250-E16-63
EM8	misc.taxes_20050218.1250-E17-64
EM9	misc.taxes_20050218.1250-E17-65
EM10	misc.taxes_20050218.1250-E16-66
EM11	misc.taxes_20050218.1250-E6-67
EM13	misc.taxes_20050218.1250-E16-68
EM14	misc.taxes_20050218.1250-E18-69
EM15	misc.taxes_20050218.1250-E6-70
EM17	misc.taxes_20050218.1250-E6-71
EM18	misc.taxes_20050218.1250-E19-72
EM19	misc.taxes_20050218.1250-E6-73
EM25	misc.taxes_20050218.1250-E20-74
EM27	misc.taxes_20050218.1250-E16-75
EM26	misc.taxes_20050218.1250-E16-76
EM28	misc.taxes_20050218.1250-E6-77
EM29	misc.taxes_20050218.1250-E6-78
EM30	misc.taxes_20050218.1250-E20-79
EM31	misc.taxes_20050218.1250-E20-80
R1	misc.taxes_20050218.1250-R1
R4	misc.taxes_20050218.1250-R2
R2	misc.taxes_20050218.1250-R3
R6	misc.taxes_20050218.1250-R4
R7	misc.taxes_20050218.1250-R5
R3	misc.taxes_20050218.1250-R6
R8	misc.taxes_20050218.1250-R7
R1	misc.taxes_20050218.1250-R8
R1	misc.taxes_20050218.1250-R9
R1	misc.taxes_20050218.1250-R10
R1	misc.taxes_20050218.1250-R11
R4	misc.taxes_20050218.1250-R12
R5	misc.taxes_20050218.1250-R13
RM1	misc.taxes_20050218.1250-R1-1
RM4	misc.taxes_20050218.1250-R2-1
RM2	misc.taxes_20050218.1250-R3-1
RM9	misc.taxes_20050218.1250-R4-1
RM10	misc.taxes_20050218.1250-R3-2
RM7	misc.taxes_20050218.1250-R1-2
RM8	misc.taxes_20050218.1250-R1-3
RM11	misc.taxes_20050218.1250-R1-4
RM13	misc.taxes_20050218.1250-R1-5
RM5	misc.taxes_20050218.1250-R2-2
RM3	misc.taxes_20050218.1250-R6-1
RM12	misc.taxes_20050218.1250-R1-6
RM6	misc.taxes_20050218.1250-R13-1
V2	misc.taxes_20050218.1250-EV1
V3	misc.taxes_20050218.1250-EV2
V5	misc.taxes_20050218.1250-EV3
V6	misc.taxes_20050218.1250-EV4
V4	misc.taxes_20050218.1250-EV5
V1	misc.taxes_20050218.1250-EV6
VM3	misc.taxes_20050218.1250-EV2-1
VM12	misc.taxes_20050218.1250-EV1-1
VM13	misc.taxes_20050218.1250-EV3-1
VM16	misc.taxes_20050218.1250-EV4-1
VM4	misc.taxes_20050218.1250-EV5-1
VM1	misc.taxes_20050218.1250-EV6-1
VM5	misc.taxes_20050218.1250-EV6-2
VM6	misc.taxes_20050218.1250-EV1-2
VM7	misc.taxes_20050218.1250-EV1-3
VM8	misc.taxes_20050218.1250-EV1-4
VM9	misc.taxes_20050218.1250-EV6-3
VM10	misc.taxes_20050218.1250-EV6-4
VM11	misc.taxes_20050218.1250-EV6-5
VM14	misc.taxes_20050218.1250-EV6-6
VM15	misc.taxes_20050218.1250-EV6-7
VM17	misc.taxes_20050218.1250-EV1-5
VM18	misc.taxes_20050218.1250-EV6-8
VM19	misc.taxes_20050218.1250-EV6-9
VM20	misc.taxes_20050218.1250-EV1-6
VM2	misc.taxes_20050218.1250-EV1-7
Q1	misc.taxes_20050218.1250-T1
Q2	misc.taxes_20050218.1250-T2
Q4	misc.taxes_20050218.1250-T3
Q5	misc.taxes_20050218.1250-T4
Q6	misc.taxes_20050218.1250-V1
Q7	misc.taxes_20050218.1250-T5
Q8	misc.taxes_20050218.1250-T6
Q9	misc.taxes_20050218.1250-T7
Q14	misc.taxes_20050218.1250-T8
Q15	misc.taxes_20050218.1250-T9
Q16	misc.taxes_20050218.1250-T10
Q13	misc.taxes_20050218.1250-T11
Q12	misc.taxes_20050218.1250-T12
Q17	misc.taxes_20050218.1250-T13
Q18	misc.taxes_20050218.1250-T14
Q19	misc.taxes_20050218.1250-T15
Q3	misc.taxes_20050218.1250-T16
Q10	misc.taxes_20050218.1250-T17
Q11	misc.taxes_20050218.1250-V2
QM6	misc.taxes_20050218.1250-V1-1
QM11	misc.taxes_20050218.1250-V2-1
