CE14	soc.culture.china_20050203.0639-CE1
EM37	soc.culture.china_20050203.0639-E11-13
EM38	soc.culture.china_20050203.0639-E12-14
EM39	soc.culture.china_20050203.0639-E50-15
EM45	soc.culture.china_20050203.0639-E50-16
EM46	soc.culture.china_20050203.0639-E11-17
EM17	soc.culture.china_20050203.0639-E13-18
EM44	soc.culture.china_20050203.0639-E14-19
EM47	soc.culture.china_20050203.0639-E15-20
EM48	soc.culture.china_20050203.0639-E12-21
EM28	soc.culture.china_20050203.0639-E29-22
EM50	soc.culture.china_20050203.0639-E16-23
EM52	soc.culture.china_20050203.0639-E11-24
EM53	soc.culture.china_20050203.0639-E11-25
EM54	soc.culture.china_20050203.0639-E17-26
EM55	soc.culture.china_20050203.0639-E17-27
EM56	soc.culture.china_20050203.0639-E11-28
EM57	soc.culture.china_20050203.0639-E12-29
EM58	soc.culture.china_20050203.0639-E18-30
EM59	soc.culture.china_20050203.0639-E19-31
EM60	soc.culture.china_20050203.0639-E21-32
EM61	soc.culture.china_20050203.0639-E19-33
EM62	soc.culture.china_20050203.0639-E22-34
EM63	soc.culture.china_20050203.0639-E19-35
EM64	soc.culture.china_20050203.0639-E19-36
EM66	soc.culture.china_20050203.0639-E19-37
EM67	soc.culture.china_20050203.0639-E21-38
EM68	soc.culture.china_20050203.0639-E23-39
EM69	soc.culture.china_20050203.0639-E23-40
EM70	soc.culture.china_20050203.0639-E24-41
EM71	soc.culture.china_20050203.0639-E24-42
EM73	soc.culture.china_20050203.0639-E25-43
EM72	soc.culture.china_20050203.0639-E26-44
EM74	soc.culture.china_20050203.0639-E24-45
EM78	soc.culture.china_20050203.0639-E27-46
EM79	soc.culture.china_20050203.0639-E27-47
EM80	soc.culture.china_20050203.0639-E27-48
EM81	soc.culture.china_20050203.0639-E28-49
EM77	soc.culture.china_20050203.0639-E28-50
EM82	soc.culture.china_20050203.0639-E20-51
EM83	soc.culture.china_20050203.0639-E20-52
EM84	soc.culture.china_20050203.0639-E20-53
EM85	soc.culture.china_20050203.0639-E20-54
EM86	soc.culture.china_20050203.0639-E20-55
EM87	soc.culture.china_20050203.0639-E20-56
EM88	soc.culture.china_20050203.0639-E30-57
EM91	soc.culture.china_20050203.0639-E31-58
EM89	soc.culture.china_20050203.0639-E31-59
EM90	soc.culture.china_20050203.0639-E31-60
EM93	soc.culture.china_20050203.0639-E31-61
EM92	soc.culture.china_20050203.0639-E32-62
EM94	soc.culture.china_20050203.0639-E33-63
EM95	soc.culture.china_20050203.0639-E34-64
EM96	soc.culture.china_20050203.0639-E2-65
EM97	soc.culture.china_20050203.0639-E35-66
EM98	soc.culture.china_20050203.0639-E2-67
EM99	soc.culture.china_20050203.0639-E50-68
EM100	soc.culture.china_20050203.0639-E36-69
EM40	soc.culture.china_20050203.0639-E37-70
EM41	soc.culture.china_20050203.0639-E38-71
EM104	soc.culture.china_20050203.0639-E50-72
EM2	soc.culture.china_20050203.0639-E54-73
EM42	soc.culture.china_20050203.0639-E39-74
EM107	soc.culture.china_20050203.0639-E40-75
EM112	soc.culture.china_20050203.0639-E41-76
EM113	soc.culture.china_20050203.0639-E50-77
EM114	soc.culture.china_20050203.0639-E20-78
EM115	soc.culture.china_20050203.0639-E50-79
EM116	soc.culture.china_20050203.0639-E20-80
EM118	soc.culture.china_20050203.0639-E50-81
EM117	soc.culture.china_20050203.0639-E42-82
EM119	soc.culture.china_20050203.0639-E36-83
EM120	soc.culture.china_20050203.0639-E20-84
EM121	soc.culture.china_20050203.0639-E20-85
EM122	soc.culture.china_20050203.0639-E20-86
EM123	soc.culture.china_20050203.0639-E20-87
EM124	soc.culture.china_20050203.0639-E20-88
EM126	soc.culture.china_20050203.0639-E43-89
EM125	soc.culture.china_20050203.0639-E20-90
EM127	soc.culture.china_20050203.0639-E20-91
EM128	soc.culture.china_20050203.0639-E20-92
EM129	soc.culture.china_20050203.0639-E44-93
EM130	soc.culture.china_20050203.0639-E44-94
EM131	soc.culture.china_20050203.0639-E45-95
EM132	soc.culture.china_20050203.0639-E46-96
EM133	soc.culture.china_20050203.0639-E44-97
EM134	soc.culture.china_20050203.0639-E47-98
EM136	soc.culture.china_20050203.0639-E44-99
EM135	soc.culture.china_20050203.0639-E44-100
EM137	soc.culture.china_20050203.0639-E20-101
EM138	soc.culture.china_20050203.0639-E20-102
EM139	soc.culture.china_20050203.0639-E20-103
EM140	soc.culture.china_20050203.0639-E20-104
EM141	soc.culture.china_20050203.0639-E50-105
EM142	soc.culture.china_20050203.0639-E44-106
EM143	soc.culture.china_20050203.0639-E48-107
EM144	soc.culture.china_20050203.0639-E49-108
EM75	soc.culture.china_20050203.0639-E20-109
EM76	soc.culture.china_20050203.0639-E20-110
EM43	soc.culture.china_20050203.0639-E51-111
EM6	soc.culture.china_20050203.0639-E52-112
EM14	soc.culture.china_20050203.0639-E53-113
EM101	soc.culture.china_20050203.0639-E20-114
EM102	soc.culture.china_20050203.0639-E20-115
EM103	soc.culture.china_20050203.0639-E20-116
EM105	soc.culture.china_20050203.0639-E20-117
EM106	soc.culture.china_20050203.0639-E20-118
EM108	soc.culture.china_20050203.0639-E20-119
EM109	soc.culture.china_20050203.0639-E20-120
EM110	soc.culture.china_20050203.0639-E20-121
EM30	soc.culture.china_20050203.0639-E20-122
EM51	soc.culture.china_20050203.0639-E11-123
EM16	soc.culture.china_20050203.0639-E55-124
EM111	soc.culture.china_20050203.0639-E19-125
EM65	soc.culture.china_20050203.0639-E21-126
EM31	soc.culture.china_20050203.0639-E36-127
EM21	soc.culture.china_20050203.0639-E56-128
EM1	soc.culture.china_20050203.0639-E56-129
EM49	soc.culture.china_20050203.0639-E12-130
EM3	soc.culture.china_20050203.0639-E57-131
EM4	soc.culture.china_20050203.0639-E20-132
EM5	soc.culture.china_20050203.0639-E20-133
EM7	soc.culture.china_20050203.0639-E50-134
EM8	soc.culture.china_20050203.0639-E58-135
EM9	soc.culture.china_20050203.0639-E59-136
EM10	soc.culture.china_20050203.0639-E60-137
EM11	soc.culture.china_20050203.0639-E60-138
EM12	soc.culture.china_20050203.0639-E61-139
EM13	soc.culture.china_20050203.0639-E60-140
EM15	soc.culture.china_20050203.0639-E62-141
EM18	soc.culture.china_20050203.0639-E63-142
EM19	soc.culture.china_20050203.0639-E64-143
EM20	soc.culture.china_20050203.0639-E20-144
R10	soc.culture.china_20050203.0639-R1
R4	soc.culture.china_20050203.0639-R2
R1	soc.culture.china_20050203.0639-R3
R3	soc.culture.china_20050203.0639-R4
R5	soc.culture.china_20050203.0639-R5
R6	soc.culture.china_20050203.0639-R6
R7	soc.culture.china_20050203.0639-R7
R11	soc.culture.china_20050203.0639-R8
R10	soc.culture.china_20050203.0639-R9
R2	soc.culture.china_20050203.0639-R10
R4	soc.culture.china_20050203.0639-R11
R8	soc.culture.china_20050203.0639-R12
R9	soc.culture.china_20050203.0639-R13
RM1	soc.culture.china_20050203.0639-R3-1
RM4	soc.culture.china_20050203.0639-R4-1
RM5	soc.culture.china_20050203.0639-R5-1
RM6	soc.culture.china_20050203.0639-R6-1
RM7	soc.culture.china_20050203.0639-R7-1
RM12	soc.culture.china_20050203.0639-R8-1
RM11	soc.culture.china_20050203.0639-R9-1
RM13	soc.culture.china_20050203.0639-R9-2
RM2	soc.culture.china_20050203.0639-R10-1
RM3	soc.culture.china_20050203.0639-R11-1
RM8	soc.culture.china_20050203.0639-R12-1
RM9	soc.culture.china_20050203.0639-R13-1
RM10	soc.culture.china_20050203.0639-R2-1
V1	soc.culture.china_20050203.0639-EV1
V2	soc.culture.china_20050203.0639-EV2
V3	soc.culture.china_20050203.0639-EV3
V4	soc.culture.china_20050203.0639-EV4
V5	soc.culture.china_20050203.0639-EV5
VM1	soc.culture.china_20050203.0639-EV1-1
VM2	soc.culture.china_20050203.0639-EV1-2
VM3	soc.culture.china_20050203.0639-EV1-3
VM4	soc.culture.china_20050203.0639-EV1-4
VM5	soc.culture.china_20050203.0639-EV2-1
VM6	soc.culture.china_20050203.0639-EV2-2
VM7	soc.culture.china_20050203.0639-EV2-3
VM9	soc.culture.china_20050203.0639-EV2-4
VM10	soc.culture.china_20050203.0639-EV2-5
VM11	soc.culture.china_20050203.0639-EV2-6
VM12	soc.culture.china_20050203.0639-EV2-7
VM13	soc.culture.china_20050203.0639-EV1-5
VM14	soc.culture.china_20050203.0639-EV1-6
VM16	soc.culture.china_20050203.0639-EV2-8
VM17	soc.culture.china_20050203.0639-EV3-1
VM19	soc.culture.china_20050203.0639-EV2-9
VM20	soc.culture.china_20050203.0639-EV2-10
VM21	soc.culture.china_20050203.0639-EV4-1
VM23	soc.culture.china_20050203.0639-EV2-11
VM24	soc.culture.china_20050203.0639-EV2-12
VM25	soc.culture.china_20050203.0639-EV5-1
VM26	soc.culture.china_20050203.0639-EV2-13
VM8	soc.culture.china_20050203.0639-EV2-14
VM15	soc.culture.china_20050203.0639-EV2-15
VM22	soc.culture.china_20050203.0639-EV2-16
VM18	soc.culture.china_20050203.0639-EV2-17
Q1	soc.culture.china_20050203.0639-T1
Q2	soc.culture.china_20050203.0639-T2
Q3	soc.culture.china_20050203.0639-T3
Q4	soc.culture.china_20050203.0639-V1
Q6	soc.culture.china_20050203.0639-T4
Q7	soc.culture.china_20050203.0639-T5
Q8	soc.culture.china_20050203.0639-T6
Q9	soc.culture.china_20050203.0639-T7
Q13	soc.culture.china_20050203.0639-T8
Q16	soc.culture.china_20050203.0639-T9
Q17	soc.culture.china_20050203.0639-T10
Q14	soc.culture.china_20050203.0639-T11
Q5	soc.culture.china_20050203.0639-T12
Q10	soc.culture.china_20050203.0639-T13
Q11	soc.culture.china_20050203.0639-T14
Q12	soc.culture.china_20050203.0639-T15
Q15	soc.culture.china_20050203.0639-T16
QM4	soc.culture.china_20050203.0639-V1-1
