CE13	soc.history.what-if_20050129.1404-CE1
E44	soc.history.what-if_20050129.1404-E27
E45	soc.history.what-if_20050129.1404-E28
E46	soc.history.what-if_20050129.1404-E29
E48	soc.history.what-if_20050129.1404-E30
E51	soc.history.what-if_20050129.1404-E31
E52	soc.history.what-if_20050129.1404-E32
E53	soc.history.what-if_20050129.1404-E33
E54	soc.history.what-if_20050129.1404-E34
E55	soc.history.what-if_20050129.1404-E35
E56	soc.history.what-if_20050129.1404-E36
E57	soc.history.what-if_20050129.1404-E37
E2	soc.history.what-if_20050129.1404-E38
E3	soc.history.what-if_20050129.1404-E39
E4	soc.history.what-if_20050129.1404-E40
E5	soc.history.what-if_20050129.1404-E41
E6	soc.history.what-if_20050129.1404-E42
E7	soc.history.what-if_20050129.1404-E43
E8	soc.history.what-if_20050129.1404-E44
E9	soc.history.what-if_20050129.1404-E45
E10	soc.history.what-if_20050129.1404-E46
E11	soc.history.what-if_20050129.1404-E47
EM1	soc.history.what-if_20050129.1404-E17-1
EM22	soc.history.what-if_20050129.1404-E40-2
EM23	soc.history.what-if_20050129.1404-E39-3
EM24	soc.history.what-if_20050129.1404-E39-4
EM26	soc.history.what-if_20050129.1404-E38-5
EM27	soc.history.what-if_20050129.1404-E47-6
EM28	soc.history.what-if_20050129.1404-E1-7
EM30	soc.history.what-if_20050129.1404-E2-8
EM31	soc.history.what-if_20050129.1404-E3-9
EM32	soc.history.what-if_20050129.1404-E4-10
EM33	soc.history.what-if_20050129.1404-E38-11
EM35	soc.history.what-if_20050129.1404-E5-12
EM36	soc.history.what-if_20050129.1404-E6-13
EM37	soc.history.what-if_20050129.1404-E7-14
EM38	soc.history.what-if_20050129.1404-E7-15
EM39	soc.history.what-if_20050129.1404-E38-16
EM34	soc.history.what-if_20050129.1404-E8-17
EM40	soc.history.what-if_20050129.1404-E9-18
EM41	soc.history.what-if_20050129.1404-E4-19
EM42	soc.history.what-if_20050129.1404-E3-20
EM43	soc.history.what-if_20050129.1404-E2-21
EM44	soc.history.what-if_20050129.1404-E38-22
EM45	soc.history.what-if_20050129.1404-E8-23
EM46	soc.history.what-if_20050129.1404-E38-24
EM47	soc.history.what-if_20050129.1404-E38-25
EM49	soc.history.what-if_20050129.1404-E47-26
EM50	soc.history.what-if_20050129.1404-E38-27
EM51	soc.history.what-if_20050129.1404-E10-28
EM52	soc.history.what-if_20050129.1404-E38-29
EM53	soc.history.what-if_20050129.1404-E11-30
EM55	soc.history.what-if_20050129.1404-E47-31
EM57	soc.history.what-if_20050129.1404-E38-32
EM59	soc.history.what-if_20050129.1404-E12-33
EM60	soc.history.what-if_20050129.1404-E13-34
EM62	soc.history.what-if_20050129.1404-E12-35
EM63	soc.history.what-if_20050129.1404-E14-36
EM61	soc.history.what-if_20050129.1404-E15-37
EM64	soc.history.what-if_20050129.1404-E14-38
EM66	soc.history.what-if_20050129.1404-E40-39
EM67	soc.history.what-if_20050129.1404-E40-40
EM68	soc.history.what-if_20050129.1404-E16-41
EM25	soc.history.what-if_20050129.1404-E18-42
EM70	soc.history.what-if_20050129.1404-E19-43
EM69	soc.history.what-if_20050129.1404-E40-44
EM72	soc.history.what-if_20050129.1404-E40-45
EM73	soc.history.what-if_20050129.1404-E20-46
EM74	soc.history.what-if_20050129.1404-E40-47
EM75	soc.history.what-if_20050129.1404-E40-48
EM76	soc.history.what-if_20050129.1404-E40-49
EM77	soc.history.what-if_20050129.1404-E42-50
EM78	soc.history.what-if_20050129.1404-E44-51
EM83	soc.history.what-if_20050129.1404-E21-52
EM84	soc.history.what-if_20050129.1404-E14-53
EM86	soc.history.what-if_20050129.1404-E47-54
EM87	soc.history.what-if_20050129.1404-E22-55
EM88	soc.history.what-if_20050129.1404-E23-56
EM90	soc.history.what-if_20050129.1404-E24-57
EM89	soc.history.what-if_20050129.1404-E25-58
EM91	soc.history.what-if_20050129.1404-E21-59
EM93	soc.history.what-if_20050129.1404-E21-60
EM94	soc.history.what-if_20050129.1404-E14-61
EM96	soc.history.what-if_20050129.1404-E21-62
EM97	soc.history.what-if_20050129.1404-E26-63
EM98	soc.history.what-if_20050129.1404-E14-64
EM14	soc.history.what-if_20050129.1404-E45-65
EM99	soc.history.what-if_20050129.1404-E38-66
EM100	soc.history.what-if_20050129.1404-E40-67
EM101	soc.history.what-if_20050129.1404-E38-68
EM102	soc.history.what-if_20050129.1404-E11-69
EM103	soc.history.what-if_20050129.1404-E27-70
EM104	soc.history.what-if_20050129.1404-E28-71
EM105	soc.history.what-if_20050129.1404-E29-72
EM2	soc.history.what-if_20050129.1404-E38-73
EM29	soc.history.what-if_20050129.1404-E30-74
EM79	soc.history.what-if_20050129.1404-E31-75
EM58	soc.history.what-if_20050129.1404-E47-76
EM21	soc.history.what-if_20050129.1404-E42-77
EM48	soc.history.what-if_20050129.1404-E38-78
EM19	soc.history.what-if_20050129.1404-E39-79
EM71	soc.history.what-if_20050129.1404-E32-80
EM80	soc.history.what-if_20050129.1404-E31-81
EM81	soc.history.what-if_20050129.1404-E33-82
EM82	soc.history.what-if_20050129.1404-E34-83
EM85	soc.history.what-if_20050129.1404-E31-84
EM92	soc.history.what-if_20050129.1404-E31-85
EM95	soc.history.what-if_20050129.1404-E31-86
EM54	soc.history.what-if_20050129.1404-E35-87
EM56	soc.history.what-if_20050129.1404-E36-88
EM65	soc.history.what-if_20050129.1404-E37-89
EM3	soc.history.what-if_20050129.1404-E39-90
EM4	soc.history.what-if_20050129.1404-E40-91
EM5	soc.history.what-if_20050129.1404-E41-92
EM6	soc.history.what-if_20050129.1404-E42-93
EM7	soc.history.what-if_20050129.1404-E43-94
EM8	soc.history.what-if_20050129.1404-E44-95
EM9	soc.history.what-if_20050129.1404-E38-96
EM10	soc.history.what-if_20050129.1404-E38-97
EM11	soc.history.what-if_20050129.1404-E40-98
EM12	soc.history.what-if_20050129.1404-E45-99
EM13	soc.history.what-if_20050129.1404-E40-100
EM15	soc.history.what-if_20050129.1404-E46-101
EM16	soc.history.what-if_20050129.1404-E38-102
EM17	soc.history.what-if_20050129.1404-E47-103
EM18	soc.history.what-if_20050129.1404-E39-104
EM20	soc.history.what-if_20050129.1404-E39-105
R1	soc.history.what-if_20050129.1404-R1
R2	soc.history.what-if_20050129.1404-R2
R3	soc.history.what-if_20050129.1404-R3
R4	soc.history.what-if_20050129.1404-R4
R5	soc.history.what-if_20050129.1404-R5
R6	soc.history.what-if_20050129.1404-R6
RM1	soc.history.what-if_20050129.1404-R1-1
RM2	soc.history.what-if_20050129.1404-R2-1
RM3	soc.history.what-if_20050129.1404-R3-1
RM4	soc.history.what-if_20050129.1404-R4-1
RM5	soc.history.what-if_20050129.1404-R5-1
RM6	soc.history.what-if_20050129.1404-R6-1
V4	soc.history.what-if_20050129.1404-EV1
V5	soc.history.what-if_20050129.1404-EV2
V3	soc.history.what-if_20050129.1404-EV3
V6	soc.history.what-if_20050129.1404-EV4
V1	soc.history.what-if_20050129.1404-EV5
V2	soc.history.what-if_20050129.1404-EV6
V7	soc.history.what-if_20050129.1404-EV7
VM4	soc.history.what-if_20050129.1404-EV1-1
VM5	soc.history.what-if_20050129.1404-EV2-1
VM3	soc.history.what-if_20050129.1404-EV3-1
VM6	soc.history.what-if_20050129.1404-EV4-1
VM1	soc.history.what-if_20050129.1404-EV5-1
VM2	soc.history.what-if_20050129.1404-EV6-1
VM7	soc.history.what-if_20050129.1404-EV7-1
Q7	soc.history.what-if_20050129.1404-T1
Q11	soc.history.what-if_20050129.1404-V1
Q12	soc.history.what-if_20050129.1404-T2
Q8	soc.history.what-if_20050129.1404-V2
Q10	soc.history.what-if_20050129.1404-T3
Q13	soc.history.what-if_20050129.1404-V3
Q4	soc.history.what-if_20050129.1404-V4
Q1	soc.history.what-if_20050129.1404-T4
Q2	soc.history.what-if_20050129.1404-T5
Q3	soc.history.what-if_20050129.1404-T6
Q5	soc.history.what-if_20050129.1404-T7
Q6	soc.history.what-if_20050129.1404-V5
Q9	soc.history.what-if_20050129.1404-T8
QM11	soc.history.what-if_20050129.1404-V1-1
QM8	soc.history.what-if_20050129.1404-V2-1
QM13	soc.history.what-if_20050129.1404-V3-1
QM4	soc.history.what-if_20050129.1404-V4-1
QM6	soc.history.what-if_20050129.1404-V5-1
