CE19	alt.politics_20050124.0640-CE1
E68	alt.politics_20050124.0640-E41
E69	alt.politics_20050124.0640-E42
E2	alt.politics_20050124.0640-E43
E3	alt.politics_20050124.0640-E44
E5	alt.politics_20050124.0640-E45
E7	alt.politics_20050124.0640-E46
E8	alt.politics_20050124.0640-E47
E9	alt.politics_20050124.0640-E48
E10	alt.politics_20050124.0640-E49
E11	alt.politics_20050124.0640-E50
E12	alt.politics_20050124.0640-E51
E13	alt.politics_20050124.0640-E52
E14	alt.politics_20050124.0640-E53
E15	alt.politics_20050124.0640-E54
EM1	alt.politics_20050124.0640-E27-1
EM19	alt.politics_20050124.0640-E1-2
EM20	alt.politics_20050124.0640-E2-3
EM21	alt.politics_20050124.0640-E3-4
EM22	alt.politics_20050124.0640-E4-5
EM24	alt.politics_20050124.0640-E4-6
EM27	alt.politics_20050124.0640-E50-7
EM28	alt.politics_20050124.0640-E5-8
EM29	alt.politics_20050124.0640-E6-9
EM30	alt.politics_20050124.0640-E7-10
EM32	alt.politics_20050124.0640-E8-11
EM33	alt.politics_20050124.0640-E9-12
EM4	alt.politics_20050124.0640-E10-13
EM31	alt.politics_20050124.0640-E11-14
EM34	alt.politics_20050124.0640-E12-15
EM35	alt.politics_20050124.0640-E13-16
EM36	alt.politics_20050124.0640-E14-17
EM17	alt.politics_20050124.0640-E17-18
EM37	alt.politics_20050124.0640-E15-19
EM38	alt.politics_20050124.0640-E16-20
EM39	alt.politics_20050124.0640-E18-21
EM40	alt.politics_20050124.0640-E19-22
EM41	alt.politics_20050124.0640-E20-23
EM42	alt.politics_20050124.0640-E21-24
EM43	alt.politics_20050124.0640-E50-25
EM44	alt.politics_20050124.0640-E6-26
EM45	alt.politics_20050124.0640-E6-27
EM46	alt.politics_20050124.0640-E22-28
EM47	alt.politics_20050124.0640-E23-29
EM49	alt.politics_20050124.0640-E24-30
EM50	alt.politics_20050124.0640-E25-31
EM51	alt.politics_20050124.0640-E26-32
EM52	alt.politics_20050124.0640-E25-33
EM54	alt.politics_20050124.0640-E19-34
EM55	alt.politics_20050124.0640-E28-35
EM56	alt.politics_20050124.0640-E29-36
EM57	alt.politics_20050124.0640-E30-37
EM58	alt.politics_20050124.0640-E31-38
EM59	alt.politics_20050124.0640-E28-39
EM60	alt.politics_20050124.0640-E32-40
EM61	alt.politics_20050124.0640-E32-41
EM62	alt.politics_20050124.0640-E33-42
EM63	alt.politics_20050124.0640-E34-43
EM64	alt.politics_20050124.0640-E49-44
EM65	alt.politics_20050124.0640-E35-45
EM66	alt.politics_20050124.0640-E34-46
EM67	alt.politics_20050124.0640-E36-47
EM68	alt.politics_20050124.0640-E37-48
EM69	alt.politics_20050124.0640-E38-49
EM70	alt.politics_20050124.0640-E39-50
EM71	alt.politics_20050124.0640-E40-51
EM73	alt.politics_20050124.0640-E23-52
EM75	alt.politics_20050124.0640-E23-53
EM2	alt.politics_20050124.0640-E43-54
EM25	alt.politics_20050124.0640-E17-55
EM23	alt.politics_20050124.0640-E17-56
EM26	alt.politics_20050124.0640-E17-57
EM72	alt.politics_20050124.0640-E34-58
EM74	alt.politics_20050124.0640-E34-59
EM53	alt.politics_20050124.0640-E46-60
EM3	alt.politics_20050124.0640-E41-61
EM48	alt.politics_20050124.0640-E6-62
EM6	alt.politics_20050124.0640-E42-63
EM7	alt.politics_20050124.0640-E44-64
EM9	alt.politics_20050124.0640-E45-65
EM8	alt.politics_20050124.0640-E47-66
EM5	alt.politics_20050124.0640-E48-67
EM10	alt.politics_20050124.0640-E50-68
EM11	alt.politics_20050124.0640-E48-69
EM12	alt.politics_20050124.0640-E46-70
EM13	alt.politics_20050124.0640-E51-71
EM14	alt.politics_20050124.0640-E52-72
EM15	alt.politics_20050124.0640-E53-73
EM16	alt.politics_20050124.0640-E50-74
EM18	alt.politics_20050124.0640-E54-75
R1	alt.politics_20050124.0640-R1
R2	alt.politics_20050124.0640-R2
R3	alt.politics_20050124.0640-R3
R4	alt.politics_20050124.0640-R4
R5	alt.politics_20050124.0640-R5
R6	alt.politics_20050124.0640-R6
R7	alt.politics_20050124.0640-R7
R8	alt.politics_20050124.0640-R8
R9	alt.politics_20050124.0640-R9
R10	alt.politics_20050124.0640-R10
R11	alt.politics_20050124.0640-R11
R12	alt.politics_20050124.0640-R12
R13	alt.politics_20050124.0640-R13
R15	alt.politics_20050124.0640-R14
R14	alt.politics_20050124.0640-R15
R16	alt.politics_20050124.0640-R16
RM1	alt.politics_20050124.0640-R1-1
RM2	alt.politics_20050124.0640-R2-1
RM3	alt.politics_20050124.0640-R3-1
RM4	alt.politics_20050124.0640-R4-1
RM5	alt.politics_20050124.0640-R5-1
RM6	alt.politics_20050124.0640-R6-1
RM7	alt.politics_20050124.0640-R7-1
RM8	alt.politics_20050124.0640-R8-1
RM9	alt.politics_20050124.0640-R9-1
RM10	alt.politics_20050124.0640-R10-1
RM11	alt.politics_20050124.0640-R11-1
RM12	alt.politics_20050124.0640-R12-1
RM13	alt.politics_20050124.0640-R13-1
RM15	alt.politics_20050124.0640-R14-1
RM14	alt.politics_20050124.0640-R15-1
RM16	alt.politics_20050124.0640-R16-1
Q1	alt.politics_20050124.0640-T1
Q2	alt.politics_20050124.0640-T2
Q3	alt.politics_20050124.0640-T3
Q4	alt.politics_20050124.0640-T4
